scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2016-07-22,2016-07-01,1.0,1.0,-157.87590708575073,-151.48740361888989,7314.923582401785,6298.423939457692,35.183799232097755,40.60311559060446,-0.47915078511006787,0.025392852381935845,0.25587376795368005,0.0,0.030013876674382413,0.0,-0.05068655329430692,-157.87590708575073,-151.48740361888989,-155,-150,0.98178374940903,0.9901813379637037,7375,6405,0.05
equal_weight,2016-08-05,2016-08-01,1.0,1.0,-222.03765488860589,-213.3250115912218,7092.885927513179,6085.09892786647,24.62865946246842,28.42218091342312,-0.9926943114706869,0.012418305853594097,0.3114605266946283,0.0,0.17432084348744173,0.0,-0.14530362834161387,-222.03765488860589,-213.3250115912218,-220,-215,0.9908229309590386,1.0078518144510304,7155,6190,0.05
equal_weight,2016-08-19,2016-08-01,0.55,0.55,69.95681563250402,67.29594971980792,7162.842743145683,6152.394877586278,74.47745623214026,74.95584913742086,0.105456917529246,0.09521713286200241,0.39815894954446357,0.06992802973545868,0.17432084348744173,0.0,0.11990202120499314,127.19421024091638,122.35627221783258,175,170,1.3758487879954244,1.3893852511079008,7330,6360,0.05
equal_weight,2016-09-02,2016-09-01,0.7,0.65,160.54096743606272,143.29657204691725,7323.383710581746,6295.691449633196,120.93749112081076,129.62878703684234,0.49631705350149047,0.2723328676135473,0.17168953097129963,0.12233368116686207,0.009368441495255255,0.0,0.17754600150787192,229.34423919437532,220.456264687565,205,200,0.89385284199904,0.9072094198976108,7535,6560,0.05
equal_weight,2016-09-19,2016-09-01,1.0,1.0,-146.9203130008538,-141.05545842572835,7176.463397580892,6154.635991207468,84.65624378456752,90.74015092578964,-0.43496390662671475,0.13344310513063817,0.5198068118948719,0.0,0.009368441495255255,0.0,-0.002293063079806597,-146.9203130008538,-141.05545842572835,-155,-150,1.0549936685684793,1.0634115239076787,7380,6410,0.05
equal_weight,2016-09-30,2016-09-01,0.0,0.0,0.0,0.0,7176.463397580892,6154.635991207468,59.25937064919726,63.51810564805274,0.0,0.06538712151401267,0.0932978621424765,0.0,0.009368441495255255,4.115212137819158e-31,0.022785787555915878,0.0,0.0,0,0,,,7380,6410,0.05
equal_weight,2016-10-20,2016-10-01,0.65,0.6,229.73085401272053,203.93258257171536,7406.1942515936125,6358.568573779183,165.18278853821064,180.41772900144716,1.0072409450335265,0.5198525318545986,0.49643957036139563,0.38457625509607557,0.0,0.0,0.39374450879329564,353.4320830964931,339.8876376195256,355,340,1.0044362608220794,1.000330586841173,7735,6750,0.05
equal_weight,2016-11-02,2016-11-01,0.0,0.0,-0.0,-0.0,7406.1942515936125,6358.568573779183,59.82880923964442,72.78769850075263,0.0,0.07925506810349124,0.2086424165182224,0.06620616405770514,0.0,0.0,0.04704726344083759,-55.79914273710302,-53.50471180026038,0,0,-0.0,-0.0,7735,6750,0.05
equal_weight,2016-11-17,2016-11-01,1.0,1.0,-284.2294865125539,-272.9682691056422,7121.964765081058,6085.60030467354,41.88016646775111,50.95138895052685,-1.5960655225156601,0.03883498337071072,0.8301873563433966,0.0,0.0,0.0,-0.19728276141175122,-284.2294865125539,-272.9682691056422,-365,-355,1.2841735897231712,1.3005174600078167,7370,6395,0.05
equal_weight,2016-12-01,2016-12-01,0.6,0.55,77.04871823560225,67.90715123871863,7199.01348331666,6153.5074559122595,80.68192868449395,91.2263687334113,0.11458312275158943,0.1300028779929875,0.5849756589240073,0.06502406629814009,0.0,0.0,0.11422737796008978,128.41453039267043,123.46754770676112,175,170,1.3627741305043821,1.3768800235974132,7545,6565,0.05
equal_weight,2016-12-15,2016-12-01,0.65,0.6,263.03413440240354,233.32359755305652,7462.047617719064,6386.831053465316,198.11111475736305,219.40752314875897,1.3166077121495292,0.7624326170609682,0.513514965947973,0.5041643978739072,0.0,0.0,0.5163283474699901,404.6678990806208,388.87266258842754,435,420,1.0749555400571476,1.0800450646347357,7980,6985,0.05
equal_weight,2016-12-29,2016-12-01,1.0,1.0,77.71243352081123,74.71447030925725,7539.760051239875,6461.545523774573,138.67778033015412,153.58526620413127,0.1180342069909429,0.37359198235987445,0.1666669915142635,0.0,0.0,0.0,0.10515941323457347,77.71243352081123,74.71447030925725,100,95,1.2867953745550924,1.2715073747665897,8080,7080,0.05
equal_weight,2017-01-13,2017-01-01,0.0,0.0,0.0,0.0,7539.760051239875,6461.545523774573,97.07444623110788,107.50968634289188,0.0,0.182797092012733,0.026146550707184222,0.0,0.0,0.0,0.03551813163301036,0.0,0.0,70,70,,,8150,7150,0.05
equal_weight,2017-01-26,2017-01-01,0.0,0.0,0.0,0.0,7539.760051239875,6461.545523774573,67.95211236177552,75.25678044002431,0.0,0.08957057508623915,0.0,0.0,0.0,0.0,0.016122703515523047,0.0,0.0,-70,-70,,,8080,7080,0.05
equal_weight,2017-02-15,2017-02-01,0.0,0.0,0.0,0.0,7539.760051239875,6461.545523774573,47.56647865324286,52.679746308017016,0.0,0.04388958179225719,0.0,0.0,0.3164456405855974,0.0,0.007900124722606294,0.0,0.0,50,50,,,8130,7130,0.05
equal_weight,2017-02-28,2017-02-01,1.0,0.25,55.95744290787435,13.552183357085708,7595.71749414775,6475.097707131658,33.29653505726999,77.53237248686904,0.024208273831945487,0.06996479528580704,0.014685462129818602,0.022129699816407424,0.3164456405855974,0.0,0.07936325992653817,55.95744290787435,54.20873342834283,0,0,0.0,0.0,8130,7130,0.05
equal_weight,2017-03-15,2017-03-01,1.0,1.0,-92.1522928416,-88.5277026118767,7503.56520130615,6386.570004519782,23.307574540088993,54.27266074080832,-0.160682665384652,0.03428274969004545,0.11879534491071113,0.0,0.3756897440753852,0.0,-0.010872450333958067,-92.1522928416,-88.5277026118767,-85,-85,0.9223861651072097,0.9601514270923435,8045,7045,0.05
equal_weight,2017-03-29,2017-03-01,1.0,1.0,-255.78305247850017,-245.73197337236635,7247.7821488276495,6140.838031147416,16.315302178062296,37.99086251856582,-1.2711253151564295,0.016798547348122268,0.5054102234718075,0.0,0.3756897440753852,0.0,-0.10761364192474523,-255.78305247850017,-245.73197337236635,-230,-220,0.8991995277690755,0.8952843904713459,7815,6825,0.05
equal_weight,2017-04-13,2017-04-01,0.6,0.55,125.28422625271229,110.4699882468247,7373.0663750803615,6251.308019394241,94.94352902645183,116.97813960130719,0.2956140949958842,0.20233874324729845,0.693601115044318,0.17188808785507256,0.15950215698236386,0.0,0.18993147820211775,208.8070437545205,200.8545240851358,200,190,0.9578220945224707,0.9459582793338779,8015,7015,0.05
equal_weight,2017-04-26,2017-04-01,0.0,0.0,0.0,0.0,7373.0663750803615,6251.308019394241,66.46047031851627,81.88469772091503,0.0,0.09914598419117622,0.06169056261250831,0.0,0.15950215698236386,0.00022317116397399563,0.05276589248200336,0.0,0.0,0,0,,,8015,7015,0.05
equal_weight,2017-05-12,2017-05-01,1.0,1.0,-251.0601937443805,-241.06606638193543,7122.006181335981,6010.241953012305,46.52232922296139,57.3192884046405,-1.2724259106946554,0.04844922957124051,0.6475885327991407,0.0,0.10227750223930196,0.0,-0.15555694932230058,-251.0601937443805,-241.06606638193543,-250,-235,0.9957771332501242,0.9748364982555255,7765,6780,0.05
equal_weight,2017-05-26,2017-05-01,0.6,0.55,73.68408483605883,64.95490016059317,7195.69026617204,6075.196853172898,81.6883536801122,93.26842019646092,0.1063257383691222,0.13458213042495581,0.47565320889020685,0.05936497919515295,0.10227750223930196,0.0,0.1200243839301566,122.80680806009806,118.09981847380574,140,135,1.1400019446111496,1.1431008255947717,7905,6915,0.05
equal_weight,2017-06-10,2017-06-01,1.0,1.0,-152.71745819332847,-146.5971826938568,7042.972807978711,5928.599670479041,57.18184757607854,65.28789413752264,-0.497055457859426,0.06599498533882352,0.3535738040888391,0.0,0.10227750223930196,0.0,-0.04223350464482454,-152.71745819332847,-146.5971826938568,-180,-175,1.1786471705948245,1.193747361199005,7725,6740,0.05
equal_weight,2017-06-24,2017-06-01,1.0,1.0,-212.4536631141341,-204.0489155874226,6830.519144864576,5724.550754891618,40.027293303254964,45.70152589626585,-1.0086519953749755,0.032337542816023516,0.28414114299793325,0.0,0.10227750223930196,0.0,-0.12891253675774367,-212.4536631141341,-204.0489155874226,-250,-240,1.1767271805791144,1.1761885590476198,7475,6500,0.05
equal_weight,2017-07-07,2017-07-01,0.0,0.0,0.0,0.0,6830.519144864576,5724.550754891618,28.019105312278473,31.991068127386093,0.0,0.01587005853059107,0.19518271658342426,0.0,0.07429420332454019,0.0,0.022374882193848818,0.0,0.0,0,0,,,7475,6500,0.05
equal_weight,2017-07-22,2017-07-01,1.0,0.4,58.87712254304824,22.71008294138861,6889.396267407625,5747.260837833007,19.61337371859492,56.45887210125318,0.03792695522411643,0.03584835975826526,0.018224199856317725,0.015584621813090166,0.07429420332454019,0.0,0.03128016520723394,58.87712254304824,56.77520735347152,75,75,1.2738394262587045,1.3209991384631046,7550,6575,0.05
equal_weight,2017-08-05,2017-08-01,0.65,0.6,101.16706710884519,89.8049450758807,6990.56333451647,5837.065782908888,68.20393620008694,99.39117385479769,0.21911943249386773,0.1336487216752061,0.0712277823301188,0.07455288354847382,0.014553360248874238,0.0,0.08404056502217047,155.64164170591567,149.67490845980117,175,165,1.124377757018664,1.1023891826485717,7725,6740,0.05
equal_weight,2017-08-18,2017-08-01,0.0,0.0,0.0,0.0,6990.56333451647,5837.065782908888,47.74275534006086,69.57382169835837,0.0,0.06548787362085098,0.040528843105633074,0.0,0.014553360248874238,0.0,0.018460306407113845,0.0,0.0,0,0,,,7725,6740,0.05
