month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi
2016-11-01,-284.2294865125539,-272.9682691056422,7665.365387521948,6683.372799024054,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,610.7948629941025,587.0546806044459,7381.135901009394,6410.404529918412,0.021,0.03,0.08275079488924927,0.09157841410234958,0.024487349283702258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,7991.930764003496,6997.459210522858,0.025,0.03,0.0,0.0,0.02318724569457233,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,7991.930764003496,6997.459210522858,0.008,0.03,0.0,0.0,0.0073682592464218745,0.0,0.012631740753578126,0.0,1.1153562448406515,1.1153562448406515,1.1153562448406515,0.9683599772417815
2017-03-01,-315.0,-305.0,7991.930764003496,6997.459210522858,0.009,0.03,0.0,0.0,0.00829878786101896,0.0,0.011701212138981041,0.0,0.9570814557714611,0.9570814557714611,0.9570814557714611,0.8309447147640195
2017-04-01,200.0,190.0,7676.930764003496,6692.459210522858,0.012,0.03,0.02605207812186919,0.028390161825903155,0.012761294222241665,0.0,0.007238705777758335,0.0,0.366276491091218,0.366276491091218,0.366276491091218,0.3180037734293269
2017-05-01,-127.19319193990194,-116.90018152619426,7876.930764003496,6882.459210522858,0.015,0.03,0.0,0.0,0.013881959548601473,0.0,0.006118040451398528,0.0,0.261644664955483,0.261644664955483,0.261644664955483,0.22716170100246572
2017-06-01,-365.17112130746256,-350.6460982812794,7749.737572063594,6765.559028996663,0.015,0.03,0.0,0.0,0.013881959548601473,0.0,0.006118040451398528,0.0,0.261644664955483,0.261644664955483,0.261644664955483,0.22716170100246572
2017-07-01,58.87712254304824,56.77520735347152,7384.5664507561305,6414.9129307153835,0.0139999999999999,0.03,0.007972996510447762,0.008850503189470418,0.013429828330424276,0.0,0.006570171669575724,0.0,0.3017453803682078,0.3017453803682078,0.3017453803682078,0.2619774184416891
2017-08-01,155.64164170591567,149.67490845980117,7443.443573299179,6471.688138068855,0.018,0.03,0.02090989743836134,0.023127645409759194,0.01794520352342015,0.0,0.0020547964765798496,0.0,0.029513778946416058,0.029513778946416058,0.029513778946416058,0.025624066248854487
2017-09-01,305.0,290.0,7599.085215005094,6621.363046528656,0.016,0.03,0.04013641002442628,0.04379762866983055,0.017374710451064146,0.0,0.0026252895489358545,0.0,0.04817720655193826,0.04817720655193826,0.04817720655193826,0.0418277826981394
2017-10-01,0.0,0.0,7904.085215005094,6911.363046528656,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234
2017-11-01,340.9361526367654,327.93362465232457,7904.085215005094,6911.363046528656,0.017,0.03,0.04313416965565264,0.0474484732526147,0.018419322135900945,0.0,0.0015806778640990553,0.0,0.017465215084339885,0.017465215084339885,0.017465215084339885,0.015163420081994032
2017-12-01,0.0,0.0,8245.02136764186,7239.29667118098,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199
2018-01-01,180.0,175.0,8245.02136764186,7239.29667118098,0.015,0.03,0.021831356399684067,0.02417361906118035,0.015204204612156203,0.0,0.004795795387843797,0.0,0.16077128642643487,0.16077128642643487,0.16077128642643487,0.13958273868568036
2018-02-01,0.0,0.0,8425.02136764186,7414.29667118098,0.0289999999999999,0.03,0.0,0.0,0.02690936015296058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,-43.16306517296417,-40.79924381790077,8425.02136764186,7414.29667118098,0.021,0.03,0.0,0.0,0.019465131236183986,0.0,0.0005348687638160148,0.0,0.001999777452359301,0.001999777452359301,0.001999777452359301,0.0017362205638001733
2018-04-01,255.0,245.0,8381.858302468898,7373.49742736308,0.018,0.03,0.030422847869533788,0.03322710862972624,0.018609748890311965,0.0,0.001390251109688035,0.0,0.013510570756118813,0.013510570756118813,0.013510570756118813,0.011729970626369554
2018-05-01,338.6915934820314,325.6250506392525,8636.858302468898,7618.49742736308,0.018,0.03,0.039214675246578304,0.0427413743646768,0.019187194859701225,0.0,0.0008128051402987758,0.0,0.004618065393858954,0.004618065393858954,0.004618065393858954,0.004009436196178928
2018-06-01,-130.0,-125.0,8975.54989595093,7944.122478002332,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234
2018-07-01,219.100468841324,260.0,8845.54989595093,7819.122478002332,0.021,0.03,0.0247695701701505,0.03325181319661667,0.01977949887897141,0.0,0.00022050112102859135,0.0,0.00033986684423064137,0.00033986684423064137,0.00033986684423064137,0.0002950747360467235
2018-08-01,-50.0,-50.00000000000001,9064.650364792253,8079.122478002332,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,233.70703247448603,224.5317849830424,9014.650364792253,8029.122478002332,0.025,0.03,0.025925246461832346,0.02796467305090936,0.024908516479862166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,321.27405427892984,308.7943537798456,9248.35739726674,8253.654262985374,0.025,0.03,0.034738499008902836,0.037413046868788234,0.025505504581537414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,-804.2220796468255,-772.6431720304615,9569.63145154567,8562.44861676522,0.022,0.03,0.0,0.0,0.02039565985078107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,-854.8600033455689,-821.0373201189072,8765.409371898844,7789.805444734758,0.019,0.03,0.0,0.0,0.017604074006989812,0.0,0.002395925993010188,0.0,0.04012675069641679,0.04012675069641679,0.04012675069641679,0.0348383214519234
2019-01-01,245.0,230.0,7910.549368553275,6968.76812461585,0.017,0.03,0.030971300296025708,0.03300439846571573,0.017881415258446026,0.0,0.0021185847415539742,0.0,0.031374648979844745,0.031374648979844745,0.031374648979844745,0.027239686434383965
2019-02-01,50.0,50.0,8155.549368553275,7198.76812461585,0.015,0.03,0.006130794841705382,0.006945632799176757,0.014221301742375968,0.0,0.005778698257624032,0.0,0.23342492666751602,0.23342492666751602,0.23342492666751602,0.20266112976999026
2019-03-01,234.84262562810693,228.79339819218742,8205.549368553275,7248.76812461585,0.023,0.03,0.02861997595531037,0.03156307309861872,0.023085554323422762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,298.94608777164467,288.3856116693672,8440.391994181382,7477.561522808038,0.025,0.03,0.03541850757378703,0.038566798920976336,0.02546509588732892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,8739.338081953027,7765.947134477405,0.027,0.03,0.0,0.0,0.0250483029237665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,-552.1741911537738,-530.3440623646135,8739.338081953027,7765.947134477405,0.027,0.03,0.0,0.0,0.0250483029237665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,150.0,140.0,8187.163890799254,7235.603072112792,0.0279999999999999,0.03,0.018321362806547725,0.019348767283764237,0.02727950849760783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,-210.0,-205.0,8337.163890799253,7375.603072112792,0.0279999999999999,0.03,0.0,0.0,0.02597883153836349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,239.15294760830255,224.35122453582883,8127.163890799253,7170.603072112792,0.03,0.03,0.029426371957263858,0.03128763679701554,0.02988595434067561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,-115.86771343951646,-111.21790016771084,8366.316838407556,7394.954296648621,0.038,0.03,0.0,0.0,0.03528411768433444,0.005284117684334441,0.0,0.19517858187118972,0.0,0.19517858187118972,0.19517858187118972,0.16945538967764592
2019-11-01,137.01728061237992,129.5533360114099,8250.44912496804,7283.73639648091,0.045,0.03,0.016607251137120454,0.017786659066080804,0.04292629130577815,0.012926291305778152,0.0,1.1679791047689663,0.0,1.1679791047689663,1.1679791047689663,1.0140475068344996
2019-12-01,251.40804943409307,238.8995283777183,8387.466405580419,7413.28973249232,0.045,0.03,0.029974254116454546,0.0322258453397047,0.043809569013438326,0.013809569013438328,0.0,1.3330530871936612,0.0,1.3330530871936612,1.3330530871936612,1.1573658758340164
2020-01-01,0.0,0.0,8638.874455014511,7652.189260870038,0.054,0.035,0.0,0.0,0.05017257551788781,0.01517257551788781,0.0,1.6091843898531768,0.0,1.6091843898531768,1.6091843898531768,1.397104975512715
2020-02-01,-708.1057834019723,-681.5565323083288,8638.874455014511,7652.189260870038,0.052,0.035,0.0,0.0,0.048311518288693636,0.013311518288693633,0.0,1.238632245280346,0.0,1.238632245280346,1.238632245280346,1.075389050268844
2020-03-01,-938.8164470425208,-901.8415785731598,7930.768671612539,6970.632728561709,0.043,0.035,0.0,0.0,0.03993676075731987,0.004936760757319865,0.0,0.1703614617577899,0.0,0.1703614617577899,0.1703614617577899,0.14790899499040247
2020-04-01,0.0,0.0,6991.952224570018,6068.7911499885495,0.033,0.035,0.0,0.0,0.030631474611349012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
