variable,x_value,alpha_target,f_gasoline,S_gasoline_lag,prev_u_gasoline,alpha_fitted,residual
prev_u_gasoline,-14.85417472738544,0.98,-196.63216233755864,15.25615638306887,-14.85417472738544,0.9834093858633496,0.003409385863349601
prev_u_gasoline,-5.841009754244681,0.98,-196.63216233755864,15.25615638306887,-5.841009754244681,0.982070063639426,0.0020700636394259675
prev_u_gasoline,3.17215521889608,0.98,-196.63216233755864,15.25615638306887,3.17215521889608,0.9807307414155023,0.000730741415502334
prev_u_gasoline,12.18532019203684,0.98,-196.63216233755864,15.25615638306887,12.18532019203684,0.9793914191915786,-0.0006085808084214106
prev_u_gasoline,21.1984851651776,0.98,-196.63216233755864,15.25615638306887,21.1984851651776,0.9780520969676549,-0.0019479030323450441
prev_u_gasoline,30.21165013831836,0.98,-196.63216233755864,15.25615638306887,30.21165013831836,0.9767127747437312,-0.0032872252562687887
prev_u_gasoline,39.22481511145918,0.97,-196.63216233755864,15.25615638306887,39.22481511145918,0.9753734525198076,0.005373452519807587
prev_u_gasoline,48.23798008459994,0.97,-196.63216233755864,15.25615638306887,48.23798008459994,0.9740341302958838,0.004034130295883842
prev_u_gasoline,57.2511450577407,0.97,-196.63216233755864,15.25615638306887,57.2511450577407,0.9726948080719602,0.0026948080719602086
prev_u_gasoline,66.26431003088146,0.97,-196.63216233755864,15.25615638306887,66.26431003088146,0.9713554858480365,0.001355485848036575
prev_u_gasoline,75.27747500402222,0.97,-196.63216233755864,15.25615638306887,75.27747500402222,0.9700161636241128,1.6163624112830455e-05
prev_u_gasoline,84.29063997716298,0.97,-196.63216233755864,15.25615638306887,84.29063997716298,0.9686768414001892,-0.001323158599810803
prev_u_gasoline,93.30380495030374,0.97,-196.63216233755864,15.25615638306887,93.30380495030374,0.9673375191762654,-0.0026624808237345476
prev_u_gasoline,102.31696992344456,0.97,-196.63216233755864,15.25615638306887,102.31696992344456,0.9659981969523418,-0.004001803047658181
prev_u_gasoline,111.33013489658532,0.96,-196.63216233755864,15.25615638306887,111.33013489658532,0.964658874728418,0.004658874728418083
prev_u_gasoline,120.34329986972602,0.96,-196.63216233755864,15.25615638306887,120.34329986972602,0.9633195525044944,0.0033195525044944496
prev_u_gasoline,129.3564648428669,0.96,-196.63216233755864,15.25615638306887,129.3564648428669,0.9619802302805707,0.001980230280570705
prev_u_gasoline,138.36962981600766,0.96,-196.63216233755864,15.25615638306887,138.36962981600766,0.960640908056647,0.0006409080566470715
prev_u_gasoline,147.38279478914842,0.96,-196.63216233755864,15.25615638306887,147.38279478914842,0.9593015858327234,-0.000698414167276562
prev_u_gasoline,156.39595976228918,0.96,-196.63216233755864,15.25615638306887,156.39595976228918,0.9579622636087997,-0.0020377363912003066
prev_u_gasoline,165.40912473542994,0.96,-196.63216233755864,15.25615638306887,165.40912473542994,0.956622941384876,-0.00337705861512394
prev_u_gasoline,174.4222897085707,0.96,-196.63216233755864,15.25615638306887,174.4222897085707,0.9552836191609523,-0.004716380839047685
prev_u_gasoline,183.43545468171143,0.96,-196.63216233755864,15.25615638306887,183.43545468171143,0.9539442969370286,-0.006055703062971318
prev_u_gasoline,192.44861965485225,0.95,-196.63216233755864,15.25615638306887,192.44861965485225,0.9526049747131049,0.002604974713104946
prev_u_gasoline,201.46178462799296,0.95,-196.63216233755864,15.25615638306887,201.46178462799296,0.9512656524891813,0.0012656524891813126
prev_u_gasoline,210.47494960113372,0.95,-196.63216233755864,15.25615638306887,210.47494960113372,0.9499263302652576,-7.366973474232097e-05
prev_u_gasoline,219.4881145742745,0.95,-196.63216233755864,15.25615638306887,219.4881145742745,0.9485870080413339,-0.0014129919586660655
prev_u_gasoline,228.5012795474153,0.95,-196.63216233755864,15.25615638306887,228.5012795474153,0.9472476858174103,-0.002752314182589699
prev_u_gasoline,237.51444452055603,0.95,-196.63216233755864,15.25615638306887,237.51444452055603,0.9459083635934865,-0.004091636406513444
prev_u_gasoline,246.5276094936969,0.95,-196.63216233755864,15.25615638306887,246.5276094936969,0.9445690413695629,-0.005430958630437077
prev_u_gasoline,255.5407744668377,0.94,-196.63216233755864,15.25615638306887,255.5407744668377,0.9432297191456391,0.003229719145639187
prev_u_gasoline,264.5539394399784,0.94,-196.63216233755864,15.25615638306887,264.5539394399784,0.9418903969217155,0.0018903969217155536
prev_u_gasoline,273.5671044131192,0.94,-196.63216233755864,15.25615638306887,273.5671044131192,0.9405510746977918,0.0005510746977918091
prev_u_gasoline,282.58026938625994,0.94,-196.63216233755864,15.25615638306887,282.58026938625994,0.9392117524738681,-0.0007882475261318245
prev_u_gasoline,291.5934343594007,0.94,-196.63216233755864,15.25615638306887,291.5934343594007,0.9378724302499444,-0.002127569750055569
prev_u_gasoline,300.60659933254146,0.93,-196.63216233755864,15.25615638306887,300.60659933254146,0.9365331080260207,0.006533108026020695
prev_u_gasoline,309.6197643056822,0.93,-196.63216233755864,15.25615638306887,309.6197643056822,0.9351937858020971,0.005193785802097062
prev_u_gasoline,318.632929278823,0.93,-196.63216233755864,15.25615638306887,318.632929278823,0.9338544635781734,0.003854463578173317
