date,month,alpha_gasoline,alpha_diesel,u_gasoline,u_diesel,price_gasoline,price_diesel,S_gasoline,S_diesel,LC,LC_raw,LC_winsorized,consumer_increase_loss,consumer_decrease_reward,LF,LF_raw,LF_winsorized,LV,LV_raw,LV_winsorized,LT,LT_raw,LT_winsorized,price_gap_g,energy_A,LE,LE_raw,LE_winsorized,cpi_yoy,cpi_target,gasoline_price_before,diesel_price_before,omega_gasoline,omega_diesel,Lpi,Lpi_contribution,weighted_event_loss,u_hist_gasoline,u_hist_diesel,f_gasoline,f_diesel
2017-06-24,2017-06-01,1.0,1.0,-212.4536631141341,-204.0489155874226,7384.5664507561305,6414.9129307153835,0.5618809250163395,-0.6019971454909694,-0.9980700600610685,-0.0008794001194123224,-0.0008794001194123224,0.0,0.0008794001194123224,1.3254456777275487e-05,3.255801704899208e-06,3.255801704899208e-06,0.388526603909245,0.18621540880934634,0.18621540880934634,0.0,0.0,0.0,0.0,0.01493865926366595,0.0,0.0,0.0,0.015,0.03,7597.020113870265,6618.961846302806,0.4216406489133761,0.5783593510866238,0.22716170100246572,0.22716170100246572,-0.06372808344876338,-250,-240,-212.4536631141341,-204.0489155874226
2017-07-07,2017-07-01,0.0,0.0,0.0,0.0,7384.5664507561305,6414.9129307153835,0.3933166475114376,-0.42139800184367854,0.0,0.0,0.0,0.0,0.0,6.431031515957522e-06,1.5797073939546975e-06,1.5797073939546975e-06,0.2669939887651805,0.1279665131481182,0.1279665131481182,0.0,0.0,0.0,0.0,0.024757863997723263,0.0,0.0,0.0,0.0139999999999999,0.03,7384.5664507561305,6414.9129307153835,0.4175082846772921,0.5824917153227079,0.2619774184416891,0.0,0.04450006996611606,0,0,0.0,0.0
2017-07-22,2017-07-01,1.0,1.0,58.87712254304824,56.77520735347152,7443.443573299179,6471.688138068855,0.27532165325800406,-0.2949786012905733,0.08190647469253748,7.216784322821249e-05,7.216784322821249e-05,7.216784322821249e-05,0.0,3.1512054428191343e-06,7.740566230377891e-07,7.740566230377891e-07,0.04894975265026735,0.02346093706112109,0.02346093706112109,0.0,0.0,0.0,0.0,0.031631307311563384,0.0,0.0,0.0,0.0139999999999999,0.03,7384.5664507561305,6414.9129307153835,0.4175082846772921,0.5824917153227079,0.2619774184416891,0.2619774184416891,0.06547279949832277,75,75,58.87712254304824,56.77520735347152
2017-08-05,2017-08-01,1.0,1.0,155.64164170591567,149.67490845980117,7599.085215005094,6621.363046528656,0.19272515728059147,-0.2064850209034148,0.560522600152512,0.0004938767940571868,0.0004938767940571868,0.0004938767940571868,0.0,1.553011895769245e-06,3.8147914040831816e-07,3.8147914040831816e-07,0.25282769948095213,0.1211768073111654,0.1211768073111654,0.0,0.0,0.0,0.0,0.022141915118094366,0.0,0.0,0.0,0.018,0.03,7443.443573299179,6471.688138068855,0.419920505026888,0.580079494973112,0.025624066248854487,0.0,0.1355586421075599,175,165,155.64164170591567,149.67490845980117
2017-08-18,2017-08-01,0.0,0.0,0.0,0.0,7599.085215005094,6621.363046528656,0.13490761009641403,-0.14453951463239034,0.0,0.0,0.0,0.0,0.0,7.6097582892693e-07,1.8692477880007585e-07,1.8692477880007585e-07,0.1435069028484767,0.06878086677208453,0.06878086677208453,0.0,0.0,0.0,0.0,0.015499340582666055,0.0,0.0,0.0,0.018,0.03,7599.085215005094,6621.363046528656,0.419920505026888,0.580079494973112,0.025624066248854487,0.025624066248854487,0.02818862167886001,0,0,0.0,0.0
2017-09-01,2017-09-01,-0.0,-0.0,0.0,0.0,7599.085215005094,6621.363046528656,-89.23344957853851,-85.9071819702427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9839023255290118,0.05528049153231537,0.05528049153231537,0.0,0.010849538407866238,0.0,0.0,0.0,0.016,0.03,7599.085215005094,6621.363046528656,0.417678148350647,0.582321851649353,0.0418277826981394,0.0,0.1639837209215019,0,0,-89.327884905606,-85.80600431000003
2017-09-16,2017-09-01,0.8904291536568386,0.9265246383902286,95.0,95.0,7694.085215005094,6716.363046528656,-50.77328713014248,-52.60132664018489,0.21013412528019157,0.00018514930189639952,0.00018514930189639952,0.00018514930189639952,0.0,0.0,0.0,0.0,0.13305350157154516,0.06377069662505737,0.06377069662505737,0.011464248468127396,0.0006441180937609126,0.0006441180937609126,0.001299375053568035,0.007594676885506366,0.0,0.0,0.0,0.016,0.03,7599.085215005094,6621.363046528656,0.417678148350647,0.582321851649353,0.0418277826981394,0.0,0.059108645886644,95,95,106.69012757483448,102.533700738985
2017-09-30,2017-09-01,0.9438681699846488,0.9118694484074334,210.0,195.0,7904.085215005094,6911.363046528656,-23.052603227920088,-17.97452734521852,0.9102419250722287,0.0008020146977995135,0.0008020146977995135,0.0008020146977995135,0.0,0.0,0.0,0.0,0.4153293204777994,0.1990615788599827,0.1990615788599827,0.03564376621962455,0.0020026428086999,0.0020026428086999,0.0022051897758100483,0.005316273819854456,0.0,0.0,0.0,0.016,0.03,7694.085215005094,6716.363046528656,0.417678148350647,0.582321851649353,0.0418277826981394,0.0418277826981394,0.2338404657446319,210,195,222.48869776317963,213.8464013029109
2017-10-19,2017-10-01,0.0,0.0,0.0,0.0,7904.085215005094,6911.363046528656,-16.13682225954406,-12.582169141652962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2509296257489305,0.12026708691518129,0.12026708691518129,0.0,0.0,0.0,0.0,0.003721391673898119,0.0,0.0,0.0,0.019,0.03,7904.085215005094,6911.363046528656,0.4149379069850193,0.5850620930149806,0.0348383214519234,0.0348383214519234,0.0476279912001423,0,0,0.0,0.0
2017-11-03,2017-11-01,1.0,1.0,113.59826254769231,109.39169958985336,8017.683477552787,7020.7547461185095,-11.295775581680843,-8.807518399157075,0.26347736596353954,0.0002321500627687437,0.0002321500627687437,0.0002321500627687437,0.0,0.0,0.0,0.0,0.18192814333989019,0.08719563408295318,0.08719563408295318,0.0,0.0,0.0,0.0,0.002604974171728683,0.0,0.0,0.0,0.017,0.03,7904.085215005094,6911.363046528656,0.4178427787934186,0.5821572212065813,0.015163420081994032,0.0,0.07423425155057159,150,150,113.59826254769231,109.39169958985336
