scenario,variable,variable_label,x_value,alpha_gasoline,alpha_diesel,u_gasoline,u_diesel,LC,LF,LV,LT,Lpi,LE,weighted_loss,base_f_gasoline,base_f_diesel
upward_base,f_gasoline,gasoline f,143.82248512873798,0.95,0.9,136.6313608723011,145.1172150203128,0.35122363628989234,0.07024747857321785,0.2953891741371846,0.022362171105871263,0.043437337276106415,0.0,0.130443299563712,143.82248512873798,161.24135002256978
upward_base,f_gasoline,gasoline f,153.32577724233101,0.94,0.9,144.12623060779114,145.1172150203128,0.36501192664839127,0.07353504609489701,0.3082727625506816,0.024134177703884298,0.035792648976105165,0.0,0.13445776032899315,153.32577724233101,161.24135002256978
upward_base,f_gasoline,gasoline f,162.82906935592416,0.93,0.9,151.4310345010095,145.1172150203128,0.37915894847981507,0.07753478035752949,0.32149154470669233,0.02657172990743172,0.029053279886391024,0.0,0.13896838055630986,162.82906935592416,161.24135002256978
upward_base,f_gasoline,gasoline f,172.3323614695172,0.93,0.9,160.269096166651,145.1172150203128,0.39721026307245566,0.07882764789544174,0.3383584441907741,0.027411842989434845,0.021838245872145515,0.0,0.14394107400337525,172.3323614695172,161.24135002256978
upward_base,f_gasoline,gasoline f,181.83565358311034,0.92,0.9,167.28880129646151,145.1172150203128,0.4122770888896061,0.0839935776751086,0.3524366785098221,0.030969300499081902,0.01684021066085802,0.0,0.14941947603907937,181.83565358311034,161.24135002256978
upward_base,f_gasoline,gasoline f,191.33894569670338,0.92,0.9,176.03183004096712,145.1172150203128,0.4319458330793209,0.08568188546188214,0.3708148819101045,0.032191042996577254,0.011522109961442487,0.0,0.1553592922348878,191.33894569670338,161.24135002256978
upward_base,f_gasoline,gasoline f,200.84223781029652,0.92,0.91,184.77485878547282,146.7296285205385,0.4577312416934168,0.08132365356301895,0.3941757119435671,0.02975508333347781,0.0077868670501869625,0.0,0.16179542626394453,200.84223781029652,161.24135002256978
upward_base,f_gasoline,gasoline f,210.34552992388967,0.91,0.91,191.4144322307396,146.7296285205385,0.47409795333791227,0.08832190913114212,0.4094685416583184,0.03515010317014608,0.005070940444026633,0.0,0.16868490795692417,210.34552992388967,161.24135002256978
upward_base,f_gasoline,gasoline f,219.8488220374827,0.91,0.91,200.06242805410926,146.7296285205385,0.49628177631518805,0.09054998123156813,0.430196800002612,0.03693263525105865,0.0024035076098490615,0.0,0.1760607834017126,219.8488220374827,161.24135002256978
upward_base,f_gasoline,gasoline f,229.35211415107585,0.91,0.91,208.71042387747903,146.7296285205385,0.51944571141615,0.09284149491575866,0.45184086160259135,0.03879392207614456,0.0007204192206966079,0.0,0.18394040153855679,229.35211415107585,161.24135002256978
