variable,x_value,alpha_target,alpha_fitted
prev_u_diesel,-259.2597510029142,1.0,1.0
prev_u_diesel,-250.6939083302937,1.0,1.0
prev_u_diesel,-242.1280656576732,1.0,1.0
prev_u_diesel,-233.5622229850527,1.0,1.0
prev_u_diesel,-224.9963803124322,1.0,1.0
prev_u_diesel,-216.4305376398117,1.0,1.0
prev_u_diesel,-207.8646949671912,1.0,1.0
prev_u_diesel,-199.29885229457068,1.0,1.0
prev_u_diesel,-190.73300962195017,1.0,1.0
prev_u_diesel,-182.16716694932967,1.0,1.0
prev_u_diesel,-173.60132427670916,1.0,1.0
prev_u_diesel,-165.03548160408866,1.0,1.0
prev_u_diesel,-156.46963893146815,1.0,1.0
prev_u_diesel,-147.90379625884765,1.0,1.0
prev_u_diesel,-139.33795358622714,1.0,1.0
prev_u_diesel,-130.77211091360664,1.0,1.0
prev_u_diesel,-122.20626824098616,1.0,1.0
prev_u_diesel,-113.64042556836564,1.0,1.0
prev_u_diesel,-105.0745828957451,1.0,1.0
prev_u_diesel,-96.50874022312462,1.0,0.9999901076717242
prev_u_diesel,-87.94289755050414,1.0,0.9987373873629606
prev_u_diesel,-79.37705487788361,0.99,0.9974846670541968
prev_u_diesel,-70.81121220526308,0.99,0.996231946745433
prev_u_diesel,-62.2453695326426,0.99,0.9949792264366694
prev_u_diesel,-53.67952686002212,0.99,0.9937265061279056
prev_u_diesel,-45.11368418740159,0.99,0.9924737858191418
prev_u_diesel,-36.547841514781055,0.99,0.9912210655103781
prev_u_diesel,-27.98199884216058,0.99,0.9899683452016144
prev_u_diesel,-19.416156169540105,0.99,0.9887156248928506
prev_u_diesel,-10.850313496919568,0.99,0.9874629045840869
prev_u_diesel,-2.284470824299035,0.98,0.9862101842753231
prev_u_diesel,6.281371848321442,0.98,0.9849574639665594
prev_u_diesel,14.847214520941918,0.98,0.9837047436577957
prev_u_diesel,23.41305719356245,0.98,0.9824520233490319
prev_u_diesel,31.978899866182985,0.98,0.9811993030402681
prev_u_diesel,40.54474253880346,0.98,0.9799465827315045
prev_u_diesel,49.11058521142394,0.98,0.9786938624227407
prev_u_diesel,57.67642788404447,0.98,0.9774411421139769
prev_u_diesel,66.242270556665,0.97,0.9761884218052133
prev_u_diesel,74.80811322928548,0.97,0.9749357014964495
prev_u_diesel,83.37395590190596,0.97,0.9736829811876857
prev_u_diesel,91.93979857452648,0.97,0.972430260878922
prev_u_diesel,100.50564124714704,0.97,0.9711775405701583
prev_u_diesel,109.0714839197675,0.97,0.9699248202613945
prev_u_diesel,117.63732659238798,0.97,0.9686720999526308
prev_u_diesel,126.20316926500853,0.97,0.967419379643867
prev_u_diesel,134.76901193762905,0.97,0.9661666593351033
prev_u_diesel,143.3348546102495,0.96,0.9649139390263396
prev_u_diesel,151.90069728287,0.96,0.9636612187175758
prev_u_diesel,160.46653995549053,0.96,0.962408498408812
prev_u_diesel,169.0323826281111,0.96,0.9611557781000483
prev_u_diesel,177.5982253007316,0.96,0.9599030577912846
prev_u_diesel,186.164067973352,0.96,0.9586503374825208
prev_u_diesel,194.72991064597252,0.96,0.957397617173757
prev_u_diesel,203.29575331859309,0.96,0.9561448968649934
prev_u_diesel,211.8615959912135,0.95,0.9548921765562296
prev_u_diesel,220.42743866383404,0.95,0.9536394562474658
prev_u_diesel,228.99328133645457,0.95,0.9523867359387022
prev_u_diesel,237.5591240090751,0.95,0.9511340156299384
prev_u_diesel,246.12496668169564,0.95,0.9498812953211746
prev_u_diesel,254.6908093543161,0.95,0.9486285750124109
prev_u_diesel,263.2566520269366,0.95,0.9473758547036472
prev_u_diesel,271.8224946995571,0.95,0.9461231343948834
prev_u_diesel,280.38833737217755,0.95,0.9448704140861197
prev_u_diesel,288.9541800447981,0.94,0.9436176937773559
prev_u_diesel,297.5200227174186,0.94,0.9423649734685922
