month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2016-11-01,-365.0,-355.0,7735.0,6750.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2016-12-01,710.0,685.0,7370.0,6395.0,0.021,0.03,0.09633649932157395,0.10711493354182955,0.025209773075793085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2017-01-01,0.0,0.0,8080.0,7080.0,0.025,0.03,0.0,0.0,0.02318724569457233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2017-02-01,50.0,50.0,8080.0,7080.0,0.008,0.03,0.006188118811881188,0.007062146892655367,0.007700275178604737,0.0,0.012299724821395262,0.0,1.0574941798608695,1.0574941798608695,1.0574941798608695,0.9181237337221252,current,Current mechanism
2017-03-01,-315.0,-305.0,8130.0,7130.0,0.009,0.03,0.0,0.0,0.00829878786101896,0.0,0.011701212138981041,0.0,0.9570814557714611,0.9570814557714611,0.9570814557714611,0.8309447147640195,current,Current mechanism
2017-04-01,200.0,190.0,7815.0,6825.0,0.012,0.03,0.025591810620601407,0.02783882783882784,0.012741903955944116,0.0,0.007258096044055884,0.0,0.36824140338964434,0.36824140338964434,0.36824140338964434,0.31970972382624074,current,Current mechanism
2017-05-01,-110.0,-100.0,8015.0,7015.0,0.015,0.03,0.0,0.0,0.013881959548601473,0.0,0.006118040451398528,0.0,0.261644664955483,0.261644664955483,0.261644664955483,0.22716170100246572,current,Current mechanism
2017-06-01,-430.0,-415.0,7905.0,6915.0,0.015,0.03,0.0,0.0,0.013881959548601473,0.0,0.006118040451398528,0.0,0.261644664955483,0.261644664955483,0.261644664955483,0.22716170100246572,current,Current mechanism
2017-07-01,75.0,75.0,7475.0,6500.0,0.0139999999999999,0.03,0.010033444816053512,0.011538461538461539,0.013471875369827087,0.0,0.006528124630172914,0.0,0.29789558693125284,0.29789558693125284,0.29789558693125284,0.2586350012523471,current,Current mechanism
2017-08-01,175.0,165.0,7550.0,6575.0,0.018,0.03,0.023178807947019868,0.025095057034220533,0.018193562609341962,0.0,0.0018064373906580382,0.0,0.022810406421811476,0.022810406421811476,0.022810406421811476,0.019804152032749777,current,Current mechanism
