loss,bin_left,bin_right,bin_label,count
LT_raw,3.286880639152942,3.9442567669835302,"[3.28688, 3.94426)",0
LT_raw,3.9442567669835302,4.601632894814119,"[3.94426, 4.60163)",0
LT_raw,4.601632894814119,5.259009022644707,"[4.60163, 5.25901)",0
LT_raw,5.259009022644707,5.916385150475295,"[5.25901, 5.91639)",0
LT_raw,5.916385150475295,6.573761278305884,"[5.91639, 6.57376)",0
LT_raw,6.573761278305884,7.231137406136472,"[6.57376, 7.23114)",0
LT_raw,7.231137406136472,7.888513533967061,"[7.23114, 7.88851]",1
LE_raw,0.0,0.003938440930255342,"[0, 0.00393844)",191
LE_raw,0.003938440930255342,0.007876881860510684,"[0.00393844, 0.00787688)",8
LE_raw,0.007876881860510684,0.011815322790766025,"[0.00787688, 0.0118153)",8
LE_raw,0.011815322790766025,0.015753763721021368,"[0.0118153, 0.0157538)",4
LE_raw,0.015753763721021368,0.01969220465127671,"[0.0157538, 0.0196922)",0
LE_raw,0.01969220465127671,0.02363064558153205,"[0.0196922, 0.0236306)",4
LE_raw,0.02363064558153205,0.027569086511787393,"[0.0236306, 0.0275691)",5
LE_raw,0.027569086511787393,0.031507527442042736,"[0.0275691, 0.0315075)",1
LE_raw,0.031507527442042736,0.035445968372298076,"[0.0315075, 0.035446)",0
LE_raw,0.035445968372298076,0.03938440930255342,"[0.035446, 0.0393844)",0
LE_raw,0.03938440930255342,0.04332285023280876,"[0.0393844, 0.0433229)",2
LE_raw,0.04332285023280876,0.0472612911630641,"[0.0433229, 0.0472613]",1
Lpi_raw,0.0,0.39291176031362135,"[0, 0.392912)",67
Lpi_raw,0.39291176031362135,0.7858235206272427,"[0.392912, 0.785824)",3
Lpi_raw,0.7858235206272427,1.178735280940864,"[0.785824, 1.17874)",8
Lpi_raw,1.178735280940864,1.5716470412544854,"[1.17874, 1.57165)",6
Lpi_raw,1.5716470412544854,1.9645588015681068,"[1.57165, 1.96456)",6
Lpi_raw,1.9645588015681068,2.357470561881728,"[1.96456, 2.35747)",8
Lpi_raw,2.357470561881728,2.7503823221953496,"[2.35747, 2.75038)",1
Lpi_raw,2.7503823221953496,3.143294082508971,"[2.75038, 3.14329)",3
Lpi_raw,3.143294082508971,3.536205842822592,"[3.14329, 3.53621)",1
Lpi_raw,3.536205842822592,3.9291176031362136,"[3.53621, 3.92912)",1
Lpi_raw,3.9291176031362136,4.322029363449835,"[3.92912, 4.32203)",2
Lpi_raw,4.322029363449835,4.714941123763456,"[4.32203, 4.71494]",1
