w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.9400000000000001,0.02,0.03999999999999994,1916.0279424226105,1.321368005394902,2533.0747240000005,0.0,0.0,209.55005728877688,317.9244014749496,209.55005728877688,18,194
0.76,0.0,0.24,1750.1738160251382,1.3541122575429396,2533.0747240000005,0.0,0.0,209.5624613295039,313.87607292963537,209.5624613295039,18,194
0.66,0.34,0.0,1740.37350796773,1.3423510893707813,2533.0747240000005,0.0,0.0,209.56748887034968,321.0099442579855,209.56748887034968,18,194
0.74,0.04,0.22,1740.4068917576637,1.3544324441554065,2533.0747240000005,0.0,0.0,209.58556190946254,314.53982215926493,209.58556190946254,18,194
0.72,0.08,0.2,1731.2386227589798,1.3545852369999587,2533.0747240000005,0.0,0.0,209.61782798273552,315.29208848556203,209.61782798273552,18,194
0.68,0.2,0.11999999999999994,1722.1398462672257,1.3515564041470431,2533.0747240000005,0.0,0.0,209.62573281632078,317.7681475394923,209.62573281632078,18,194
0.66,0.32,0.019999999999999962,1734.9657242484166,1.3442043000490833,2533.0747240000005,0.0,0.0,209.64567158244424,320.5092589446264,209.64567158244424,18,194
0.9400000000000001,0.04,0.01999999999999994,1920.109692881876,1.319823185904775,2533.0747240000005,0.0,0.0,209.67937816365622,318.46040605741763,209.67937816365622,18,194
0.7000000000000001,0.12,0.17999999999999994,1722.2472474131398,1.354685984945189,2533.0747240000005,0.0,0.0,209.6983841846907,316.1224017389033,209.6983841846907,18,194
0.66,0.3,0.03999999999999998,1729.7062369409812,1.3460186050980725,2533.0747240000005,0.0,0.0,209.7202323212067,320.03446387263193,209.7202323212067,18,194
0.68,0.18,0.13999999999999996,1717.842626907177,1.3531302781704175,2533.0747240000005,0.0,0.0,209.72648623833388,317.39080274443705,209.72648623833388,18,194
0.66,0.28,0.05999999999999994,1724.5947649088585,1.3477940088897402,2533.0747240000005,0.0,0.0,209.80058650722196,319.5852166825811,209.80058650722196,18,194
