date,actual_delta,weighted_oil,h_oil,delta_X,delta_h,raw_rule_delta,rule_delta,pred_delta_no_special,carry_before,carry_after,is_special_regulated,special_type,abs_error
2019-03-29,80,63.34613816452767,1.0,99.18596489713445,0.0,123.50815713296498,151.8879635268921,151.8879635268921,28.379806393927122,0.0,False,normal,71.8879635268921
2019-04-01,-200,63.338038792185195,1.0,-0.8627010255295318,0.0,-3.1667286337460943,-3.1667286337460943,0.0,0.0,-3.1667286337460943,False,normal,200.0
2019-04-13,150,66.28839178110526,1.0,142.05424008636328,0.0,177.7850813930951,174.61835275934902,174.61835275934902,-3.1667286337460943,0.0,False,normal,24.618352759349023
2019-04-27,185,68.2984001145586,1.0,110.93622210246076,0.0,138.38554180858614,138.38554180858614,138.38554180858614,0.0,0.0,False,normal,46.61445819141386
2019-05-14,-75,66.81309230080728,1.0,-1.994808942894906,0.0,-4.600127468056402,-4.600127468056402,0.0,0.0,-4.600127468056402,False,normal,75.0
2019-05-28,50,66.5093501751746,1.0,1.3204012194487404,0.0,-0.40263153210720404,-5.002759000163606,0.0,-4.600127468056402,-5.002759000163606,False,normal,50.0
2019-06-12,-445,59.60821747890614,1.0,-345.8066493967476,0.0,-439.91153530231713,-444.91429430248076,-444.91429430248076,-5.002759000163606,0.0,False,normal,0.08570569751924495
2019-06-26,-115,58.631728790353215,1.0,-65.8343884978085,0.0,-85.42950558054983,-85.42950558054983,-85.42950558054983,0.0,0.0,False,normal,29.57049441945017
2019-07-10,140,61.424554191868864,1.0,137.3825673843071,0.0,171.87012390300853,171.87012390300853,171.87012390300853,0.0,0.0,False,normal,31.870123903008533
2019-07-23,0,61.65363359698438,1.0,15.242367388343155,0.0,17.22442483919836,17.22442483919836,0.0,0.0,17.22442483919836,False,threshold_no_adjust,0.0
2019-08-07,-70,59.995299237761756,1.0,-4.236982215222724,0.0,-7.439016328012291,9.78540851118607,0.0,17.22442483919836,9.78540851118607,False,normal,70.0
2019-08-21,-205,56.607664202936306,1.0,-174.00327447968266,0.0,-222.3856673534409,-212.60025884225485,-212.60025884225485,9.78540851118607,0.0,False,normal,7.600258842254846
2019-09-04,105,57.67742840786755,1.0,89.91888126084632,0.0,111.77479966946049,111.77479966946049,111.77479966946049,0.0,0.0,False,normal,6.774799669460492
2019-09-19,125,59.91222291461136,1.0,95.90274426910992,0.0,119.35116419191564,119.35116419191564,119.35116419191564,0.0,0.0,False,normal,5.648835808084357
2019-10-08,0,57.68281905981712,1.0,-96.38152709130736,0.0,-124.10623611109447,-124.10623611109447,-124.10623611109447,0.0,0.0,False,threshold_no_adjust,124.10623611109447
2019-10-22,-145,56.55969257129825,1.0,-86.20219039297217,0.0,-111.2178452310078,-111.2178452310078,-111.2178452310078,0.0,0.0,False,normal,33.7821547689922
2019-11-05,105,58.13206979384787,1.0,52.62302968377662,0.0,64.5533030655034,64.5533030655034,64.5533030655034,0.0,0.0,False,normal,40.4466969344966
2019-11-19,65,59.746991353718826,1.0,90.88550429612815,0.0,112.99867268610268,112.99867268610268,112.99867268610268,0.0,0.0,False,normal,47.99867268610268
2019-12-03,50,60.75266859606181,1.0,67.20314306171576,0.0,83.01366112808654,83.01366112808654,83.01366112808654,0.0,0.0,False,normal,33.01366112808654
2019-12-16,0,61.830140109914026,1.0,24.584856449136623,0.0,29.053255575107972,29.053255575107972,0.0,0.0,29.053255575107972,False,threshold_no_adjust,0.0
2019-12-31,230,64.60533907583121,1.0,127.88597429128822,0.0,159.846177015391,188.89943259049898,188.89943259049898,29.053255575107972,0.0,False,normal,41.100567409501025
2020-01-14,0,64.77742232874712,1.0,-28.301917929005867,0.0,-37.908417937855916,-37.908417937855916,0.0,0.0,-37.908417937855916,False,threshold_no_adjust,0.0
2020-02-05,-405,57.57224254934239,1.0,-326.2925093326953,0.0,-415.20404479604485,-453.11246273390077,-453.11246273390077,-37.908417937855916,0.0,False,normal,48.11246273390077
2020-02-19,-400,53.135873677365126,1.0,-216.78767464546445,0.0,-276.556394705138,-276.556394705138,-276.556394705138,0.0,0.0,False,normal,123.44360529486198
2020-03-03,0,52.84034256157659,1.0,-30.49614649807654,0.0,-40.68660244206445,-40.68660244206445,0.0,0.0,-40.68660244206445,False,threshold_no_adjust,0.0
2020-03-18,-975,39.04285334431087,1.0,-678.5071610266664,0.0,-861.154526566424,-901.8411290084885,-901.8411290084885,-40.68660244206445,0.0,False,normal,73.15887099151155
2020-03-31,0,23.28137195603651,1.0,-808.0687424313205,0.0,-1025.196679181186,-1025.196679181186,-1025.196679181186,0.0,0.0,False,threshold_no_adjust,1025.196679181186
2020-04-15,0,22.187197685544625,1.0,-59.132024939181974,0.0,-76.94342402887514,-76.94342402887514,-76.94342402887514,0.0,0.0,False,threshold_no_adjust,76.94342402887514
2020-04-28,0,13.399235589122606,1.0,-454.0875181303628,0.0,-577.0094820970655,-577.0094820970655,-577.0094820970655,0.0,0.0,False,threshold_no_adjust,577.0094820970655
2020-05-14,0,22.196595466771925,1.0,458.9834906113382,0.0,579.0595635277547,579.0595635277547,579.0595635277547,0.0,0.0,False,threshold_no_adjust,579.0595635277547
2020-05-28,0,29.876159674650346,1.0,410.51407045519,0.0,517.6908465655034,517.6908465655034,517.6908465655034,0.0,0.0,False,threshold_no_adjust,517.6908465655034
2020-06-11,0,36.17205709577125,1.0,308.32335346740433,0.0,388.30383993762575,388.30383993762575,388.30383993762575,0.0,0.0,False,threshold_no_adjust,388.30383993762575
2020-06-29,110,38.57906873593627,1.0,128.98782699455114,0.0,161.2412687343097,161.2412687343097,161.2412687343097,0.0,0.0,False,normal,51.2412687343097
2020-07-11,100,40.80521914074423,1.0,91.47157985194235,0.0,113.7407221017422,113.7407221017422,113.7407221017422,0.0,0.0,False,normal,13.740722101742193
2020-07-24,0,42.35489633803911,1.0,85.02879060415353,0.0,105.58329606856044,105.58329606856044,105.58329606856044,0.0,0.0,False,threshold_no_adjust,105.58329606856044
2020-08-07,0,42.5406586881296,1.0,-5.974445101580386,0.0,-9.638874873086596,-9.638874873086596,0.0,0.0,-9.638874873086596,False,threshold_no_adjust,0.0
2020-08-22,80,43.72026422033889,1.0,44.50517082178021,0.0,54.2750166482856,44.63614177519901,0.0,-9.638874873086596,44.63614177519901,False,normal,80.0
2020-09-04,0,43.990376360081086,1.0,-11.131706026132633,0.0,-16.1686514819198,28.46749029327921,0.0,44.63614177519901,28.46749029327921,False,threshold_no_adjust,0.0
2020-09-19,-300,39.66427699527396,1.0,-238.2673019882693,0.0,-303.7524528921064,-275.28496259882724,-275.28496259882724,28.46749029327921,0.0,False,normal,24.715037401172765
2020-10-09,0,40.02775830691115,1.0,-3.7397651927331026,0.0,-6.809473605535378,-6.809473605535378,0.0,0.0,-6.809473605535378,False,threshold_no_adjust,0.0
2020-10-23,70,40.83946700819403,1.0,37.66861849185011,0.0,45.61903430763693,38.80956070210155,0.0,-6.809473605535378,38.80956070210155,False,normal,70.0
2020-11-06,-150,38.32115705159245,1.0,-145.35796497290812,0.0,-186.11690478615563,-147.30734408405408,-147.30734408405408,38.80956070210155,0.0,False,normal,2.6926559159459202
2020-11-20,145,41.051125006773646,1.0,118.02777103130438,0.0,147.3643836770494,147.3643836770494,147.3643836770494,0.0,0.0,False,normal,2.3643836770494033
2020-12-04,240,44.66400228860758,1.0,163.6948823349012,0.0,205.18500581458417,205.18500581458417,205.18500581458417,0.0,0.0,False,normal,34.81499418541583
2020-12-18,150,47.72604311427871,1.0,149.8549422152514,0.0,187.66180530504482,187.66180530504482,187.66180530504482,0.0,0.0,False,normal,37.66180530504482
2021-01-01,85,49.13512707647357,1.0,62.3214575224456,0.0,76.83279952105565,76.83279952105565,76.83279952105565,0.0,0.0,False,normal,8.167200478944352
2021-01-16,180,52.3676866340323,1.0,137.33418522257261,0.0,171.80886566678578,171.80886566678578,171.80886566678578,0.0,0.0,False,normal,8.191134333214222
2021-01-30,70,53.872671207909626,1.0,51.02922926223846,0.0,62.53534026238772,62.53534026238772,62.53534026238772,0.0,0.0,False,normal,7.46465973761228
2021-02-19,265,59.61602340866462,1.0,282.5490266301117,0.0,355.6701223591057,355.6701223591057,355.6701223591057,0.0,0.0,False,normal,90.67012235910568
2021-03-04,250,62.46847310080098,1.0,141.33926459782924,0.0,176.87982755986502,176.87982755986502,176.87982755986502,0.0,0.0,False,normal,73.12017244013498
2021-03-18,230,65.69720848190175,1.0,170.4450777182401,0.0,213.7316488027915,213.7316488027915,213.7316488027915,0.0,0.0,False,normal,16.26835119720849
2021-04-01,-220,62.03945336000785,1.0,-147.5428467319548,0.0,-188.88325498871552,-188.88325498871552,-188.88325498871552,0.0,0.0,False,normal,31.11674501128448
2021-04-15,0,61.02938474467936,1.0,-67.61444355020967,0.0,-87.68329145907093,-87.68329145907093,-87.68329145907093,0.0,0.0,False,threshold_no_adjust,87.68329145907093
2021-04-29,95,63.51366748844383,1.0,95.02095244471275,0.0,118.23469874387185,118.23469874387185,118.23469874387185,0.0,0.0,False,normal,23.234698743871846
2021-05-15,100,66.00616770648952,1.0,101.63013743883857,0.0,126.60280386972236,126.60280386972236,126.60280386972236,0.0,0.0,False,normal,26.602803869722365
2021-05-28,0,66.07179268709123,1.0,-30.466169527824604,0.0,-40.648647620305695,-40.648647620305695,0.0,0.0,-40.648647620305695,False,threshold_no_adjust,0.0
2021-06-12,170,69.35206039720569,1.0,167.99474526486347,0.0,210.62920280054416,169.98055518023847,169.98055518023847,-40.648647620305695,0.0,False,normal,0.019444819761531562
2021-06-29,215,72.82094625893203,1.0,198.30480407520463,0.0,249.00575886926927,249.00575886926927,249.00575886926927,0.0,0.0,False,normal,34.00575886926927
2021-07-13,65,74.17530946953484,1.0,66.88480715604919,0.0,82.61060563390407,82.61060563390407,82.61060563390407,0.0,0.0,False,normal,17.610605633904072
2021-07-27,-95,72.19480285850594,1.0,-71.73097519099429,0.0,-92.89536670807549,-92.89536670807549,-92.89536670807549,0.0,0.0,False,normal,2.1046332919245145
2021-08-09,0,72.15940902506262,1.0,-14.753570500514797,0.0,-20.754412464575122,-20.754412464575122,0.0,0.0,-20.754412464575122,False,threshold_no_adjust,0.0
2021-08-24,-245,68.13254341938315,1.0,-198.77926944265755,0.0,-253.7553643178908,-274.5097767824659,-274.5097767824659,-20.754412464575122,0.0,False,normal,29.509776782465906
2021-09-07,140,69.70953880862454,1.0,72.34806299707134,0.0,89.52781240716327,89.52781240716327,89.52781240716327,0.0,0.0,False,normal,50.47218759283673
2021-09-19,85,71.56709445420643,1.0,87.675811130689,0.0,108.9347752684951,108.9347752684951,108.9347752684951,0.0,0.0,False,normal,23.934775268495102
2021-10-10,330,77.9925146292932,1.0,291.9371789519132,0.0,367.5567688421678,367.5567688421678,367.5567688421678,0.0,0.0,False,normal,37.5567688421678
2021-10-23,290,82.46109441327327,0.9507781117345345,175.0302304389561,-0.049221888265465474,191.0350413340897,191.0350413340897,191.0350413340897,0.0,0.0,False,normal,98.9649586659103
2021-11-05,0,83.14769747487028,0.9370460505025943,39.56446073291818,-0.013732061231940262,40.06784842070036,40.06784842070036,0.0,0.0,40.06784842070036,False,threshold_no_adjust,0.0
2021-11-20,-90,81.39549046934815,0.972090190613037,-87.99640836376238,0.03504414011044277,-93.19719355039105,-53.12934512969069,-53.12934512969069,40.06784842070036,0.0,False,normal,36.87065487030931
2021-12-04,-415,75.0579050657555,1.0,-302.4492114529098,0.02790980938696297,-368.85404289252915,-368.85404289252915,-368.85404289252915,0.0,0.0,False,normal,46.14595710747085
2021-12-18,-125,72.45707492800537,1.0,-122.07990292654176,0.0,-156.64378964363885,-156.64378964363885,-156.64378964363885,0.0,0.0,False,normal,31.643789643638854
2022-01-01,135,74.32493767751632,1.0,86.08158922443181,0.0,106.91627880980148,106.91627880980148,106.91627880980148,0.0,0.0,False,normal,28.083721190198517
2022-01-18,330,80.82185751645291,0.9835628496709419,291.57092237642973,-0.016437150329058126,357.57507921142997,357.57507921142997,357.57507921142997,0.0,0.0,False,normal,27.575079211429966
2022-01-30,300,87.3987747204532,0.8520245055909359,311.3714858761664,-0.13153834408000598,315.99567529227227,315.99567529227227,315.99567529227227,0.0,0.0,False,normal,15.995675292272267
2022-02-18,200,92.63440105517844,0.7473119788964311,220.06084588920567,-0.10471252669450481,215.91782550682078,215.91782550682078,215.91782550682078,0.0,0.0,False,normal,15.917825506820776
2022-03-04,255,97.45455435446897,0.6509089129106207,218.97633160686655,-0.09640306598581039,219.35629406535838,219.35629406535838,219.35629406535838,0.0,0.0,False,normal,35.643705934641616
2022-03-18,720,112.4869654386587,0.350260691226826,730.9659279594543,-0.3006482216837947,749.3345459045441,749.3345459045441,749.3345459045441,0.0,0.0,False,normal,29.334545904544143
2022-04-01,110,111.71082276902176,0.3657835446195648,-34.877815571026986,0.015522853392738789,-37.24584186477334,-37.24584186477334,0.0,0.0,-37.24584186477334,False,normal,110.0
2022-04-16,-530,102.35936762896264,0.5528126474207471,-430.12262898106655,0.1870291028011823,-438.36722858560717,-475.6130704503805,-475.6130704503805,-37.24584186477334,0.0,False,normal,54.38692954961948
2022-04-29,200,105.22593557534127,0.49548128849317463,317.04178377535027,-0.05733135892757246,366.1447073529118,366.1447073529118,366.1447073529118,0.0,0.0,False,normal,166.14470735291178
2022-05-17,270,108.30428694027313,0.4339142611945374,250.79979807788277,-0.06156702729863722,279.82089324063276,279.82089324063276,279.82089324063276,0.0,0.0,False,normal,9.820893240632756
2022-05-31,390,114.12993495875932,0.31740130082481355,233.60236349318893,-0.11651296036972386,226.23012207069658,226.23012207069658,226.23012207069658,0.0,0.0,False,normal,163.76987792930342
2022-06-15,375,119.9631483168713,0.20073703366257406,321.57267772047817,-0.11666426716223949,337.52459754615745,337.52459754615745,337.52459754615745,0.0,0.0,False,normal,37.47540245384255
2022-06-29,-310,114.74732993650464,0.30505340126990715,-267.66180828439883,0.1043163676073331,-280.5652256565048,-280.5652256565048,-280.5652256565048,0.0,0.0,False,normal,29.434774343495178
2022-07-13,-345,110.31918786660688,0.3936162426678624,-203.06696199262933,0.08856284139795523,-207.90168613077955,-207.90168613077955,-207.90168613077955,0.0,0.0,False,normal,137.09831386922045
2022-07-27,-290,104.12473447969573,0.5175053104060854,-274.86263879522085,0.123889067738223,-278.3488267835741,-278.3488267835741,-278.3488267835741,0.0,0.0,False,normal,11.651173216425889
2022-08-10,-125,101.14453441689503,0.5771093116620994,-172.8130035398226,0.05960400125601406,-186.36482682278884,-186.36482682278884,-186.36482682278884,0.0,0.0,False,normal,61.36482682278884
2022-08-24,-200,96.72556485071132,0.6654887029857736,-121.97932590695382,0.08837939132367412,-105.34020701631935,-105.34020701631935,-105.34020701631935,0.0,0.0,False,normal,94.65979298368065
2022-09-07,185,97.32452487148552,0.6535095025702895,106.37090340162013,-0.01197920041548406,125.66866596110653,125.66866596110653,125.66866596110653,0.0,0.0,False,normal,59.33133403889347
2022-09-22,-280,90.93017638445139,0.7813964723109723,-251.67020952221355,0.1278869697406828,-246.6691420533614,-246.6691420533614,-246.6691420533614,0.0,0.0,False,normal,33.33085794663859
2022-10-10,0,88.40313282851506,0.8319373434296989,-109.64396485809993,0.05054087111872663,-111.63246354165635,-111.63246354165635,-111.63246354165635,0.0,0.0,False,threshold_no_adjust,111.63246354165635
2022-10-25,175,90.43494279816309,0.7913011440367381,210.9626545889114,-0.040636199392960815,241.50181584244697,241.50181584244697,241.50181584244697,0.0,0.0,False,normal,66.50181584244697
2022-11-08,150,91.40870215862444,0.7718259568275113,38.28067127572467,-0.019475187209226807,35.11683364204189,35.11683364204189,0.0,0.0,35.11683364204189,False,normal,150.0
2022-11-22,-165,89.77326066791937,0.8045347866416125,-159.08023641693762,0.03270882981410117,-184.55101689636294,-149.43418325432106,-149.43418325432106,35.11683364204189,0.0,False,normal,15.565816745678944
2022-12-06,-425,81.62967624265077,0.9674064751469845,-513.0722372816972,0.16287168850537204,-557.3808310149601,-557.3808310149601,-557.3808310149601,0.0,0.0,False,normal,132.3808310149601
2022-12-20,-460,76.3661983868755,1.0,-288.57037222227973,0.032593524853015476,-348.56947743913884,-348.56947743913884,-348.56947743913884,0.0,0.0,False,normal,111.43052256086116
2023-01-04,240,79.10732964634373,1.0,97.80413258073077,0.0,121.75857407541085,121.75857407541085,121.75857407541085,0.0,0.0,False,normal,118.24142592458915
