variable,x_value,alpha_target,f_gasoline,f_diesel,S_gasoline_lag,prev_u_gasoline,cpi_yoy,alpha_fitted,residual
S_gasoline_lag,7.166624531730342,0.92,167.8326286565802,161.24135002256978,7.166624531730342,0.0,0.018,0.9187305577547993,-0.001269442245200758
S_gasoline_lag,7.914919136072687,0.92,167.8326286565802,161.24135002256978,7.914919136072687,0.0,0.018,0.9198894505112268,-0.00011054948877320392
S_gasoline_lag,8.663213740415028,0.92,167.8326286565802,161.24135002256978,8.663213740415028,0.0,0.018,0.9210483432676544,0.0010483432676543503
S_gasoline_lag,9.411508344757372,0.92,167.8326286565802,161.24135002256978,9.411508344757372,0.0,0.018,0.9222072360240819,0.0022072360240819044
S_gasoline_lag,10.159802949099715,0.92,167.8326286565802,161.24135002256978,10.159802949099715,0.0,0.018,0.9233661287805095,0.0033661287805094586
S_gasoline_lag,10.908097553442058,0.92,167.8326286565802,161.24135002256978,10.908097553442058,0.0,0.018,0.924525021536937,0.004525021536937013
S_gasoline_lag,11.656392157784405,0.93,167.8326286565802,161.24135002256978,11.656392157784405,0.0,0.018,0.9256839142933646,-0.004316085706635442
S_gasoline_lag,12.404686762126744,0.93,167.8326286565802,161.24135002256978,12.404686762126744,0.0,0.018,0.9268428070497922,-0.0031571929502078877
S_gasoline_lag,13.152981366469092,0.93,167.8326286565802,161.24135002256978,13.152981366469092,0.0,0.018,0.9280016998062197,-0.0019983001937803335
S_gasoline_lag,13.901275970811431,0.93,167.8326286565802,161.24135002256978,13.901275970811431,0.0,0.018,0.9291605925626472,-0.0008394074373528904
S_gasoline_lag,14.64957057515378,0.93,167.8326286565802,161.24135002256978,14.64957057515378,0.0,0.018,0.9303194853190747,0.0003194853190746638
S_gasoline_lag,15.397865179496122,0.93,167.8326286565802,161.24135002256978,15.397865179496122,0.0,0.018,0.9314783780755023,0.001478378075502218
S_gasoline_lag,16.146159783838463,0.93,167.8326286565802,161.24135002256978,16.146159783838463,0.0,0.018,0.9326372708319298,0.002637270831929772
S_gasoline_lag,16.89445438818081,0.93,167.8326286565802,161.24135002256978,16.89445438818081,0.0,0.018,0.9337961635883574,0.0037961635883573264
S_gasoline_lag,17.642748992523153,0.94,167.8326286565802,161.24135002256978,17.642748992523153,0.0,0.018,0.9349550563447849,-0.005044943655215017
S_gasoline_lag,18.391043596865494,0.94,167.8326286565802,161.24135002256978,18.391043596865494,0.0,0.018,0.9361139491012125,-0.003886050898787463
S_gasoline_lag,19.13933820120784,0.94,167.8326286565802,161.24135002256978,19.13933820120784,0.0,0.018,0.93727284185764,-0.002727158142359909
S_gasoline_lag,19.887632805550183,0.94,167.8326286565802,161.24135002256978,19.887632805550183,0.0,0.018,0.9384317346140676,-0.0015682653859323548
S_gasoline_lag,20.635927409892524,0.94,167.8326286565802,161.24135002256978,20.635927409892524,0.0,0.018,0.9395906273704951,-0.0004093726295048006
S_gasoline_lag,21.384222014234872,0.94,167.8326286565802,161.24135002256978,21.384222014234872,0.0,0.018,0.9407495201269227,0.0007495201269227536
S_gasoline_lag,22.132516618577213,0.94,167.8326286565802,161.24135002256978,22.132516618577213,0.0,0.018,0.9419084128833503,0.0019084128833503078
S_gasoline_lag,22.880811222919554,0.94,167.8326286565802,161.24135002256978,22.880811222919554,0.0,0.018,0.9430673056397777,0.003067305639777751
S_gasoline_lag,23.629105827261903,0.94,167.8326286565802,161.24135002256978,23.629105827261903,0.0,0.018,0.9442261983962053,0.004226198396205305
S_gasoline_lag,24.377400431604244,0.95,167.8326286565802,161.24135002256978,24.377400431604244,0.0,0.018,0.9453850911526328,-0.00461490884736715
S_gasoline_lag,25.125695035946592,0.95,167.8326286565802,161.24135002256978,25.125695035946592,0.0,0.018,0.9465439839090604,-0.0034560160909395954
S_gasoline_lag,25.873989640288933,0.95,167.8326286565802,161.24135002256978,25.873989640288933,0.0,0.018,0.9477028766654879,-0.002297123334512041
S_gasoline_lag,26.622284244631278,0.95,167.8326286565802,161.24135002256978,26.622284244631278,0.0,0.018,0.9488617694219155,-0.001138230578084487
S_gasoline_lag,27.370578848973626,0.95,167.8326286565802,161.24135002256978,27.370578848973626,0.0,0.018,0.950020662178343,2.066217834306716e-05
S_gasoline_lag,28.118873453315963,0.95,167.8326286565802,161.24135002256978,28.118873453315963,0.0,0.018,0.9511795549347706,0.0011795549347706213
S_gasoline_lag,28.867168057658304,0.95,167.8326286565802,161.24135002256978,28.867168057658304,0.0,0.018,0.9523384476911981,0.0023384476911981755
S_gasoline_lag,29.61546266200065,0.95,167.8326286565802,161.24135002256978,29.61546266200065,0.0,0.018,0.9534973404476257,0.0034973404476257297
S_gasoline_lag,30.363757266342997,0.96,167.8326286565802,161.24135002256978,30.363757266342997,0.0,0.018,0.9546562332040532,-0.005343766795946725
S_gasoline_lag,31.11205187068533,0.96,167.8326286565802,161.24135002256978,31.11205187068533,0.0,0.018,0.9558151259604808,-0.004184874039519171
S_gasoline_lag,31.860346475027683,0.96,167.8326286565802,161.24135002256978,31.860346475027683,0.0,0.018,0.9569740187169083,-0.0030259812830916166
