variable,x_value,alpha_target,f_diesel,S_diesel_lag,prev_u_diesel,alpha_fitted,residual
f_diesel,-208.6957703429174,0.99,-208.6957703429174,18.398814096729858,0.0,0.9942436112593064,0.00424361125930639
f_diesel,-199.55862063563373,0.99,-199.55862063563373,18.398814096729858,0.0,0.9903182467774351,0.0003182467774350828
f_diesel,-190.42147092835003,0.98,-190.42147092835003,18.398814096729858,0.0,0.986209815080358,0.0062098150803580054
f_diesel,-181.28432122106636,0.98,-181.28432122106636,18.398814096729858,0.0,0.98190040188513,0.0019004018851299653
f_diesel,-172.14717151378264,0.98,-172.14717151378264,18.398814096729858,0.0,0.9773693274837839,-0.0026306725162160705
f_diesel,-163.01002180649894,0.98,-163.01002180649894,18.398814096729858,0.0,0.9725925465210001,-0.007407453478999848
f_diesel,-153.87287209921524,0.98,-153.87287209921524,18.398814096729858,0.0,0.9675418755373465,-0.012458124462653486
f_diesel,-144.73572239193155,0.97,-144.73572239193155,18.398814096729858,0.0,0.9621839853404442,-0.007816014659555726
f_diesel,-135.59857268464788,0.97,-135.59857268464788,18.398814096729858,0.0,0.9564790666846861,-0.013520933315313899
f_diesel,-126.46142297736418,0.97,-126.46142297736418,18.398814096729858,0.0,0.9503790332889861,-0.019620966711013876
f_diesel,-117.32427327008048,0.96,-117.32427327008048,18.398814096729858,0.0,0.9438250552447509,-0.016174944755249054
f_diesel,-108.18712356279678,0.96,-108.18712356279678,18.398814096729858,0.0,0.9367440991090347,-0.023255900890965298
f_diesel,-99.04997385551307,0.95,-99.04997385551307,18.398814096729858,0.0,0.9290439522860466,-0.02095604771395332
f_diesel,-89.91282414822939,0.95,-89.91282414822939,18.398814096729858,0.0,0.9206058577157653,-0.029394142284234648
f_diesel,-80.77567444094569,0.94,-80.77567444094569,18.398814096729858,0.0,0.9112732338339098,-0.028726766166090156
f_diesel,-71.638524733662,0.93,-71.638524733662,18.398814096729858,0.0,0.9008336827136141,-0.029166317286385968
f_diesel,-62.5013750263783,0.92,-62.5013750263783,18.398814096729858,0.0,0.8889888385487702,-0.03101116145122984
f_diesel,-53.3642253190946,0.9,-53.3642253190946,18.398814096729858,0.0,0.8753006308671298,-0.024699369132870186
