date,before_u_gasoline,before_u_diesel,before_price_gasoline,before_price_diesel,before_LC,before_LF,before_LV,before_LT,before_LE,before_Lpi_contribution,before_weighted_event_loss,after_u_gasoline,after_u_diesel,after_price_gasoline,after_price_diesel,after_LC,after_LF,after_LV,after_LT,after_LE,after_Lpi_contribution,after_weighted_event_loss,f_gasoline,f_diesel,alpha_hat_gasoline,alpha_hat_diesel
2020-12-18,195.1856988210868,187.661899803128,7597.080401434529,6628.673159988162,0.8808887085165918,0.0,0.31233385552008575,0.0,0.0,1.3260208200276986,0.41987389734406255,185.69143123215997,172.69449699957954,6866.338578548857,5817.45316885123,0.9744351231996052,0.17358107493835578,0.2721901440399479,0.021005766202530876,0.0,1.2781708130413383,0.4532304869036295,195.1856988210868,187.661899803128,0.9513577703373157,0.9202427193839003
2021-01-01,79.82331370276422,76.83283860650278,7676.903715137294,6705.5059985946655,0.13930448266037987,0.0,0.13075038374703973,0.0,0.0,0.0,0.04500914440123659,79.82331370276422,71.90173650127595,6946.161892251622,5889.354905352506,0.1636859543566052,0.1048857641979504,0.11436409015219279,0.0016714631595690565,0.0,0.0,0.06410121197771955,79.82331370276422,76.83283860650278,1.0,0.935820383645054
2021-01-16,178.70238801061197,171.80895223866645,7855.606103147906,6877.314950833332,0.6820205794991727,0.0,0.31799527493829177,0.0,0.0,0.0,0.16666930907291067,164.91268007004496,152.7260258215765,7111.074572321667,6042.080931174082,0.7033742209440601,0.16298417704468285,0.2556369055784408,0.036424880687466,0.0,0.0,0.19307003070910822,178.70238801061197,171.80895223866645,0.9228342268165542,0.8889293825005049
2021-01-30,64.92838574516259,62.53537219934742,7920.534488893069,6939.850323032679,0.08593564158562374,0.0,0.11101354559061573,0.0,0.0,2.4403283369278954,0.43954625401735564,64.92838574516259,59.302442068499374,7176.00295806683,6101.383373242582,0.10219981894672855,0.09289291432006018,0.09014768021079422,0.000718458117437625,0.0,2.4047593049357845,0.44845302942180065,64.92838574516259,62.53537219934742,1.0,0.9483023764447702
2021-03-04,183.93358460066543,176.87991666713998,8104.468073493734,7116.730239699818,0.6765791698304934,0.0,0.3594976832833385,0.0,0.0,0.0,0.17267947551897192,168.03526329645493,158.91354897115326,7344.038221363285,6260.296922213735,0.6983688109479969,0.15243933356385417,0.28944325283471817,0.037331816217656605,0.0,0.0,0.19626386892737088,183.93358460066543,176.87991666713998,0.9135648808306159,0.8984261863386301
2021-03-18,222.2730440075333,213.7317563353564,8326.741117501268,7330.461996035175,0.9412676149878483,0.0,0.4112057943334742,0.0,0.0,1.0487225925451293,0.4001993336444085,211.1156612279903,196.92574685111842,7555.153882591275,6457.222669064854,1.0332817030109076,0.1813708826791239,0.3621364252917619,0.026873348112937154,0.0,1.044094694742927,0.4412928423062761,222.2730440075333,213.7317563353564,0.9498032573884,0.9213686830053066
2021-04-01,-196.63216233755864,-188.8833487568146,8130.108955163709,7141.57864727836,-0.6950027894588936,0.0,1.3539732925274952,0.0,0.0,0.0,0.10982841717810023,-183.24977555721802,-184.71142575967147,7371.904107034057,6272.511243305183,-0.8020629031262176,0.052849078540171235,1.2151847907557387,0.011934910482246278,0.0,0.0,0.07965097944198975,-196.63216233755864,-188.8833487568146,0.9319420250418288,0.9779127010157236
2021-04-15,-91.40035348400971,-87.68333462889503,8038.708601679699,7053.895312649465,-0.15767558777421858,0.0,0.1335212788266497,0.0,0.0,0.0,-0.004025718157928147,-91.40035348400971,-84.76757020927454,7280.503753550048,6187.743673095908,-0.1913584291428031,0.019365670094057805,0.12279755459177559,0.0005838953906274671,0.0,0.0,-0.00810188484439037,-91.40035348400971,-87.68333462889503,1.0,0.9667466522348748
2021-04-29,122.91802525844412,118.23475852957172,8161.626626938143,7172.130071179037,0.2929058051299473,0.0,0.39508388564521324,0.0,0.0,0.8309447147640195,0.25315573425652993,107.87624019379365,102.89890329457445,7388.379993743842,6290.642576390483,0.2824753809632879,0.06346316751744943,0.3244019623730093,0.029720783707056393,0.0,0.8309447147640195,0.25516766822080367,122.91802525844412,118.23475852957172,0.8776275079832757,0.8702931741416665
2021-05-15,131.65950012417133,126.60286783933373,8293.286127062314,7298.732939018371,0.32450184034174095,0.0,0.14165848122738,0.0,0.0,0.0,0.0776933869281868,120.63233189186228,115.26654993398158,7509.012325635704,6405.9091263244645,0.34181855170859093,0.085021522443989,0.11876746739709174,0.016087174224160655,0.0,0.0,0.09361578596230535,131.65950012417133,126.60286783933373,0.9162447964491051,0.9104576531414866
