date,weighted_oil_mean,filtered_oil_price,exchange_rate,previous_actual,theory_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,carry_after,actual_change,actual_after,is_changed,is_special_regulated,rule_error,abs_rule_error
2016-11-02,47.20910000000001,47.20910000000001,6.7606,7735.0,7275.23881706252,-459.76118293748004,42.28236431831465,-417.4788186191654,-417.4788186191654,0.0,0,7735,False,False,-417.4788186191654,417.4788186191654
2016-11-17,43.3181,43.3181,6.8674,7735.0,7052.76767202428,-682.2323279757202,0.0,-682.2323279757202,-682.2323279757202,0.0,-365,7370,True,False,-317.2323279757202,317.2323279757202
2016-12-01,46.408240000000006,46.408240000000006,6.883,7370.0,7277.96927317104,-92.03072682895981,0.0,-92.03072682895981,-92.03072682895981,0.0,175,7545,True,False,-267.0307268289598,267.0307268289598
2016-12-15,51.45433,51.45433,6.941,7545.0,7665.01690548686,120.0169054868602,0.0,120.0169054868602,120.0169054868602,0.0,435,7980,True,False,-314.9830945131398,314.9830945131398
2016-12-29,52.66959000000001,52.66959000000001,6.9535,7980.0,7758.33429509503,-221.66570490496997,0.0,-221.66570490496997,-221.66570490496997,0.0,100,8080,True,False,-321.66570490496997,321.66570490496997
2017-01-13,52.7275,52.7275,6.8985,8080.0,7732.7066400925,-347.2933599075004,0.0,-347.2933599075004,-347.2933599075004,0.0,70,8150,True,False,-417.2933599075004,417.2933599075004
2017-01-26,52.454100000000004,52.454100000000004,6.8768,8150.0,7701.671233778559,-448.3287662214407,0.0,-448.3287662214407,-448.3287662214407,0.0,-70,8080,True,False,-378.3287662214407,378.3287662214407
2017-02-15,53.169520000000006,53.169520000000006,6.8685,8080.0,7747.62953140744,-332.3704685925604,0.0,-332.3704685925604,-332.3704685925604,0.0,50,8130,True,False,-382.3704685925604,382.3704685925604
2017-02-28,53.94231,53.94231,6.8665,8130.0,7800.99217251313,-329.00782748687016,0.0,-329.00782748687016,-329.00782748687016,0.0,0,8130,False,False,-329.00782748687016,329.00782748687016
2017-03-15,50.403999999999996,50.403999999999996,6.9132,8130.0,7575.823996393599,-554.1760036064006,0.0,-554.1760036064006,-554.1760036064006,0.0,-85,8045,True,False,-469.1760036064006,469.1760036064006
2017-03-29,48.46696,48.46696,6.8879,8045.0,7425.820658171408,-619.1793418285924,0.0,-619.1793418285924,-619.1793418285924,0.0,-230,7815,True,False,-389.17934182859244,389.17934182859244
2017-04-13,52.668130000000005,52.668130000000005,6.8865,7815.0,7722.01793068819,-92.98206931180994,0.0,-92.98206931180994,-92.98206931180994,0.0,200,8015,True,False,-292.98206931180994,292.98206931180994
2017-04-26,50.642579999999995,50.642579999999995,6.8918,8015.0,7581.6281840451265,-433.37181595487345,0.0,-433.37181595487345,-433.37181595487345,0.0,0,8015,False,False,-433.37181595487345,433.37181595487345
2017-05-12,47.30783,47.30783,6.8972,8015.0,7348.404040809912,-666.5959591900883,0.0,-666.5959591900883,-666.5959591900883,0.0,-250,7765,True,False,-416.59595919008825,416.59595919008825
2017-05-26,50.59535,50.59535,6.8525,7765.0,7557.882973349249,-207.11702665075063,0.0,-207.11702665075063,-207.11702665075063,0.0,140,7905,True,False,-347.11702665075063,347.11702665075063
2017-06-10,47.04957,47.04957,6.797,7905.0,7281.74580584998,-623.2541941500203,0.0,-623.2541941500203,-623.2541941500203,0.0,-180,7725,True,False,-443.25419415002034,443.25419415002034
2017-06-24,43.762010000000004,43.762010000000004,6.8345,7725.0,7069.27653527439,-655.72346472561,0.0,-655.72346472561,-655.72346472561,0.0,-250,7475,True,False,-405.72346472561003,405.72346472561003
2017-07-07,45.8573,45.8573,6.8039,7475.0,7201.83105736914,-273.16894263086033,0.0,-273.16894263086033,-273.16894263086033,0.0,0,7475,False,False,-273.16894263086033,273.16894263086033
2017-07-22,46.67285,46.67285,6.7663,7475.0,7240.765305848209,-234.2346941517908,0.0,-234.2346941517908,-234.2346941517908,0.0,75,7550,True,False,-309.2346941517908,309.2346941517908
2017-08-05,49.825860000000006,49.825860000000006,6.7272,7550.0,7439.704647572704,-110.29535242729617,0.0,-110.29535242729617,-110.29535242729617,0.0,175,7725,True,False,-285.29535242729617,285.29535242729617
2017-08-18,48.972120000000004,48.972120000000004,6.67,7725.0,7352.021142584799,-372.97885741520076,0.0,-372.97885741520076,-372.97885741520076,0.0,0,7725,False,False,-372.97885741520076,372.97885741520076
2017-09-01,48.86412,48.86412,6.5552,7725.0,7287.063083049088,-437.93691695091184,0.0,-437.93691695091184,-437.93691695091184,0.0,0,7725,False,False,-437.93691695091184,437.93691695091184
2017-09-16,51.42017,51.42017,6.55,7725.0,7456.263288737,-268.73671126299996,0.0,-268.73671126299996,-268.73671126299996,0.0,95,7820,True,False,-363.73671126299996,363.73671126299996
2017-09-30,54.149390000000004,54.149390000000004,6.6533,7820.0,7697.112664629593,-122.88733537040662,0.0,-122.88733537040662,-122.88733537040662,0.0,210,8030,True,False,-332.8873353704066,332.8873353704066
2017-10-19,53.872370000000004,53.872370000000004,6.6126,8030.0,7655.698284291844,-374.3017157081558,0.0,-374.3017157081558,-374.3017157081558,0.0,0,8030,False,False,-374.3017157081558,374.3017157081558
2017-11-03,56.58967,56.58967,6.636,8030.0,7853.67911233144,-176.32088766856032,0.0,-176.32088766856032,-176.32088766856032,0.0,150,8180,True,False,-326.3208876685603,326.3208876685603
2017-11-17,59.16275,59.16275,6.6245,8180.0,8021.92036674225,-158.07963325775017,0.0,-158.07963325775017,-158.07963325775017,0.0,265,8445,True,False,-423.0796332577502,423.0796332577502
2017-11-30,60.01971,60.01971,6.609,8445.0,8070.630242908179,-374.36975709182116,0.0,-374.36975709182116,-374.36975709182116,0.0,0,8445,False,False,-374.36975709182116,374.36975709182116
2017-12-14,59.7692,59.7692,6.6091,8445.0,8053.701599566639,-391.29840043336117,0.0,-391.29840043336117,-391.29840043336117,0.0,0,8445,False,False,-391.29840043336117,391.29840043336117
2017-12-29,61.89611,61.89611,6.5063,8445.0,8132.657845979166,-312.34215402083373,0.0,-312.34215402083373,-312.34215402083373,0.0,70,8515,True,False,-382.34215402083373,382.34215402083373
2018-01-13,65.33127999999999,65.33127999999999,6.4607,8515.0,8331.444486742352,-183.55551325764827,0.0,-183.55551325764827,-183.55551325764827,0.0,180,8695,True,False,-363.5555132576483,363.5555132576483
2018-01-27,66.56944999999999,66.56944999999999,6.3199,8695.0,8317.349284518408,-377.65071548159176,0.0,-377.65071548159176,-377.65071548159176,0.0,65,8760,True,False,-442.65071548159176,442.65071548159176
2018-02-10,64.22841,64.22841,6.2966,8760.0,8150.164262938371,-609.8357370616286,0.0,-609.8357370616286,-609.8357370616286,0.0,-170,8590,True,False,-439.8357370616286,439.8357370616286
2018-03-01,63.36148,63.36148,6.3565,8590.0,8133.094875076439,-456.90512492356083,0.0,-456.90512492356083,-456.90512492356083,0.0,-190,8400,True,False,-266.90512492356083,266.90512492356083
2018-03-14,62.23675,62.23675,6.314,8400.0,8032.584658949,-367.4153410509998,0.0,-367.4153410509998,-367.4153410509998,0.0,0,8400,False,False,-367.4153410509998,367.4153410509998
2018-03-29,65.73140000000001,65.73140000000001,6.2876,8400.0,8241.210207067681,-158.78979293231896,0.0,-158.78979293231896,-158.78979293231896,0.0,170,8570,True,False,-328.78979293231896,328.78979293231896
2018-04-13,66.19297,66.19297,6.2725,8570.0,8260.73523918315,-309.26476081684996,0.0,-309.26476081684996,-309.26476081684996,0.0,55,8625,True,False,-364.26476081684996,364.26476081684996
2018-04-27,70.03688,70.03688,6.3325,8625.0,8551.2846641612,-73.71533583880046,0.0,-73.71533583880046,-73.71533583880046,0.0,255,8880,True,False,-328.71533583880046,328.71533583880046
2018-05-01,70.11758,70.11758,6.3325,8880.0,8556.528882241699,-323.47111775830126,0.0,-323.47111775830126,-323.47111775830126,0.0,-75,8805,True,True,-248.47111775830126,248.47111775830126
2018-05-12,71.99072,71.99072,6.3333,8805.0,8678.844242427713,-126.15575757228726,0.0,-126.15575757228726,-126.15575757228726,0.0,170,8975,True,False,-296.15575757228726,296.15575757228726
2018-05-26,74.494,74.494,6.3903,8975.0,8885.1123021484,-89.88769785160002,0.0,-89.88769785160002,-89.88769785160002,0.0,260,9235,True,False,-349.8876978516,349.8876978516
2018-06-09,70.60988,70.60988,6.4031,9235.0,8639.677222408536,-595.3227775914638,0.0,-595.3227775914638,-595.3227775914638,0.0,-130,9105,True,False,-465.3227775914638,465.3227775914638
2018-06-26,70.56957,70.56957,6.5759,9105.0,8762.167663695105,-342.83233630489485,0.0,-342.83233630489485,-342.83233630489485,0.0,-55,9050,True,False,-287.83233630489485,287.83233630489485
2018-07-10,74.85387,74.85387,6.6296,9050.0,9092.529984256624,42.52998425662372,0.0,42.52998425662372,0.0,42.52998425662372,270,9320,True,False,-270.0,270.0
2018-07-24,70.42929000000001,70.42929000000001,6.7912,9320.0,8908.308383772976,-411.6916162270245,42.52998425662372,-369.1616319704008,-369.1616319704008,0.0,-125,9195,True,False,-244.16163197040078,244.16163197040078
2018-08-07,71.28914,71.28914,6.828,9195.0,8995.15418815504,-199.84581184495983,0.0,-199.84581184495983,-199.84581184495983,0.0,70,9265,True,False,-269.8458118449598,269.8458118449598
2018-08-21,68.81972999999999,68.81972999999999,6.8444,9265.0,8833.707397243143,-431.2926027568574,0.0,-431.2926027568574,-431.2926027568574,0.0,-50,9215,True,False,-381.2926027568574,381.2926027568574
2018-09-04,73.15973,73.15973,6.8427,9215.0,9137.2606868414,-77.73931315859954,0.0,-77.73931315859954,-77.73931315859954,0.0,180,9395,True,False,-257.73931315859954,257.73931315859954
2018-09-18,73.54198,73.54198,6.8591,9395.0,9176.479080474715,-218.52091952528463,0.0,-218.52091952528463,-218.52091952528463,0.0,145,9540,True,False,-363.5209195252846,363.5209195252846
2018-10-01,77.93767,77.93767,6.868,9540.0,9493.00146600072,-46.99853399927997,0.0,-46.99853399927997,0.0,-46.99853399927997,240,9780,True,False,-240.0,240.0
2018-10-20,75.81458,75.81458,6.9291,9780.0,9390.903686024836,-389.09631397516387,-46.99853399927997,-436.09484797444384,-436.09484797444384,0.0,165,9945,True,False,-601.0948479744438,601.0948479744438
2018-11-03,71.069,71.069,6.8894,9945.0,9024.5088513732,-920.4911486267993,0.0,-920.4911486267993,-920.4911486267993,0.0,-375,9570,True,False,-545.4911486267993,545.4911486267993
2018-11-17,63.60299,63.60299,6.9367,9570.0,8527.541660842046,-1042.4583391579545,0.0,-1042.4583391579545,-1042.4583391579545,0.0,-510,9060,True,False,-532.4583391579545,532.4583391579545
2018-12-01,56.032030000000006,56.032030000000006,6.9558,9060.0,7999.589812439788,-1060.4101875602119,0.0,-1060.4101875602119,-1060.4101875602119,0.0,-540,8520,True,False,-520.4101875602119,520.4101875602119
2018-12-15,56.16041,56.16041,6.905,8520.0,7979.4766698350995,-540.5233301649005,0.0,-540.5233301649005,-540.5233301649005,0.0,-125,8395,True,False,-415.52333016490047,415.52333016490047
2018-12-29,49.36295,49.36295,6.8755,8395.0,7482.871107483949,-912.1288925160507,0.0,-912.1288925160507,-912.1288925160507,0.0,-370,8025,True,False,-542.1288925160507,542.1288925160507
2019-01-15,55.26813,55.26813,6.7595,8025.0,7833.728497630569,-191.2715023694309,0.0,-191.2715023694309,-191.2715023694309,0.0,105,8130,True,False,-296.2715023694309,296.2715023694309
2019-01-29,57.41569,57.41569,6.7304,8130.0,7965.5504064737115,-164.44959352628848,0.0,-164.44959352628848,-164.44959352628848,0.0,245,8375,True,False,-409.4495935262885,409.4495935262885
2019-02-15,58.9936,58.9936,6.768,8375.0,8097.2952434176,-277.70475658239957,0.0,-277.70475658239957,-277.70475658239957,0.0,50,8425,True,False,-327.70475658239957,327.70475658239957
2019-03-01,61.86927,61.86927,6.7048,8425.0,8256.89393831195,-168.10606168804952,0.0,-168.10606168804952,-168.10606168804952,0.0,270,8695,True,False,-438.1060616880495,438.1060616880495
2019-03-14,62.21573000000001,62.21573000000001,6.7209,8695.0,8291.011170906335,-403.9888290936651,0.0,-403.9888290936651,-403.9888290936651,0.0,0,8695,False,False,-403.9888290936651,403.9888290936651
2019-03-29,64.05885,64.05885,6.7112,8695.0,8411.75442077944,-283.2455792205601,0.0,-283.2455792205601,-283.2455792205601,0.0,80,8775,True,False,-363.2455792205601,363.2455792205601
2019-04-01,64.21548,64.21548,6.7102,8775.0,8421.882602000751,-353.1173979992491,0.0,-353.1173979992491,-353.1173979992491,0.0,-225,8550,True,True,-128.11739799924908,128.11739799924908
2019-04-13,67.53413,67.53413,6.7039,8550.0,8646.038959246034,96.03895924603421,0.0,96.03895924603421,96.03895924603421,0.0,155,8705,True,False,-58.96104075396579,58.96104075396579
2019-04-27,69.657,69.657,6.7282,8705.0,8809.4528255788,104.4528255787991,0.0,104.4528255787991,104.4528255787991,0.0,195,8900,True,False,-90.5471744212009,90.5471744212009
2019-05-14,67.03331,67.03331,6.8737,8900.0,8728.389547562114,-171.61045243788612,0.0,-171.61045243788612,-171.61045243788612,0.0,-75,8825,True,False,-96.61045243788612,96.61045243788612
2019-05-28,66.06162,66.06162,6.9078,8825.0,8682.965786522633,-142.0342134773673,0.0,-142.0342134773673,-142.0342134773673,0.0,50,8875,True,False,-192.0342134773673,192.0342134773673
2019-06-12,58.34985,58.34985,6.9161,8875.0,8141.26496601727,-733.7350339827299,0.0,-733.7350339827299,-733.7350339827299,0.0,-465,8410,True,False,-268.7350339827299,268.7350339827299
