variable,x_value,alpha_target,f_gasoline,f_diesel,S_diesel_lag,prev_u_diesel,cpi_yoy,alpha_fitted,residual
f_diesel,92.8301699974445,0.93,167.8326286565802,92.8301699974445,18.398814096729858,0.0,0.018,0.926754464559225,-0.0032455354407749937
f_diesel,101.9673197047282,0.92,167.8326286565802,101.9673197047282,18.398814096729858,0.0,0.018,0.9216078032197021,0.0016078032197021086
f_diesel,111.1044694120119,0.92,167.8326286565802,111.1044694120119,18.398814096729858,0.0,0.018,0.9171597508359977,-0.002840249164002384
f_diesel,120.24161911929554,0.91,167.8326286565802,120.24161911929554,18.398814096729858,0.0,0.018,0.9132431182180348,0.0032431182180348017
f_diesel,129.37876882657923,0.91,167.8326286565802,129.37876882657923,18.398814096729858,0.0,0.018,0.9097443695723402,-0.00025563042765985866
f_diesel,138.51591853386293,0.91,167.8326286565802,138.51591853386293,18.398814096729858,0.0,0.018,0.906582867562552,-0.0034171324374480117
f_diesel,147.65306824114663,0.9,167.8326286565802,147.65306824114663,18.398814096729858,0.0,0.018,0.9036992750952966,0.0036992750952965503
f_diesel,156.79021794843032,0.9,167.8326286565802,156.79021794843032,18.398814096729858,0.0,0.018,0.9010486567712015,0.0010486567712014727
f_diesel,165.92736765571402,0.9,167.8326286565802,165.92736765571402,18.398814096729858,0.0,0.018,0.8985961651450319,-0.001403834854968089
f_diesel,175.06451736299772,0.9,167.8326286565802,175.06451736299772,18.398814096729858,0.0,0.018,0.8963142301867694,-0.003685769813230655
f_diesel,184.20166707028145,0.9,167.8326286565802,184.20166707028145,18.398814096729858,0.0,0.018,0.8941806641114519,-0.005819335888548105
f_diesel,193.3388167775651,0.89,167.8326286565802,193.3388167775651,18.398814096729858,0.0,0.018,0.8921773455992723,0.0021773455992722957
f_diesel,202.4759664848488,0.89,167.8326286565802,202.4759664848488,18.398814096729858,0.0,0.018,0.8902892830417806,0.00028928304178055253
f_diesel,211.6131161921325,0.89,167.8326286565802,211.6131161921325,18.398814096729858,0.0,0.018,0.8885039329014092,-0.0014960670985908475
f_diesel,220.7502658994162,0.89,167.8326286565802,220.7502658994162,18.398814096729858,0.0,0.018,0.8868106941010461,-0.0031893058989539425
f_diesel,229.8874156066999,0.89,167.8326286565802,229.8874156066999,18.398814096729858,0.0,0.018,0.8852005265618184,-0.004799473438181656
f_diesel,239.0245653139836,0.89,167.8326286565802,239.0245653139836,18.398814096729858,0.0,0.018,0.8836656590148536,-0.006334340985146403
f_diesel,248.1617150212673,0.89,167.8326286565802,248.1617150212673,18.398814096729858,0.0,0.018,0.8821993621326282,-0.00780063786737184
f_diesel,257.298864728551,0.88,167.8326286565802,257.298864728551,18.398814096729858,0.0,0.018,0.8807957702044081,0.0007957702044081305
f_diesel,266.4360144358347,0.88,167.8326286565802,266.4360144358347,18.398814096729858,0.0,0.018,0.8794497394010117,-0.000550260598988328
f_diesel,275.5731641431184,0.88,167.8326286565802,275.5731641431184,18.398814096729858,0.0,0.018,0.8781567339738586,-0.001843266026141377
f_diesel,284.7103138504021,0.88,167.8326286565802,284.7103138504021,18.398814096729858,0.0,0.018,0.8769127340314816,-0.0030872659685183823
f_diesel,293.8474635576858,0.88,167.8326286565802,293.8474635576858,18.398814096729858,0.0,0.018,0.8757141601628596,-0.0042858398371403705
f_diesel,302.9846132649695,0.88,167.8326286565802,302.9846132649695,18.398814096729858,0.0,0.018,0.8745578113444035,-0.005442188655596536
f_diesel,312.1217629722532,0.88,167.8326286565802,312.1217629722532,18.398814096729858,0.0,0.018,0.8734408134167965,-0.006559186583203536
f_diesel,321.2589126795369,0.88,167.8326286565802,321.2589126795369,18.398814096729858,0.0,0.018,0.8723605760434676,-0.007639423956532387
f_diesel,330.3960623868206,0.88,167.8326286565802,330.3960623868206,18.398814096729858,0.0,0.018,0.8713147565284945,-0.008685243471505455
f_diesel,339.5332120941043,0.88,167.8326286565802,339.5332120941043,18.398814096729858,0.0,0.018,0.8703012292225472,-0.009698770777452848
S_diesel_lag,0.2681327931275753,0.87,167.8326286565802,161.24135002256978,0.2681327931275753,0.0,0.018,0.8676876405213868,-0.0023123594786131907
S_diesel_lag,0.9138478645691102,0.87,167.8326286565802,161.24135002256978,0.9138478645691102,0.0,0.018,0.8688324113522374,-0.001167588647762563
S_diesel_lag,1.559562936010645,0.87,167.8326286565802,161.24135002256978,1.559562936010645,0.0,0.018,0.8699771821830881,-2.2817816911935296e-05
S_diesel_lag,2.20527800745218,0.87,167.8326286565802,161.24135002256978,2.20527800745218,0.0,0.018,0.8711219530139387,0.0011219530139386924
S_diesel_lag,2.8509930788937146,0.87,167.8326286565802,161.24135002256978,2.8509930788937146,0.0,0.018,0.8722667238447893,0.00226672384478932
S_diesel_lag,3.496708150335249,0.87,167.8326286565802,161.24135002256978,3.496708150335249,0.0,0.018,0.8734114946756399,0.003411494675639948
S_diesel_lag,4.1424232217767845,0.88,167.8326286565802,161.24135002256978,4.1424232217767845,0.0,0.018,0.8745562655064906,-0.005443734493509433
S_diesel_lag,4.78813829321832,0.88,167.8326286565802,161.24135002256978,4.78813829321832,0.0,0.018,0.8757010363373412,-0.004298963662658806
S_diesel_lag,5.433853364659854,0.88,167.8326286565802,161.24135002256978,5.433853364659854,0.0,0.018,0.8768458071681918,-0.003154192831808178
S_diesel_lag,6.079568436101389,0.88,167.8326286565802,161.24135002256978,6.079568436101389,0.0,0.018,0.8779905779990425,-0.0020094220009575503
S_diesel_lag,6.725283507542924,0.88,167.8326286565802,161.24135002256978,6.725283507542924,0.0,0.018,0.8791353488298931,-0.0008646511701069226
S_diesel_lag,7.370998578984459,0.88,167.8326286565802,161.24135002256978,7.370998578984459,0.0,0.018,0.8802801196607437,0.0002801196607437051
S_diesel_lag,8.016713650425993,0.88,167.8326286565802,161.24135002256978,8.016713650425993,0.0,0.018,0.8814248904915943,0.0014248904915943328
S_diesel_lag,8.662428721867528,0.88,167.8326286565802,161.24135002256978,8.662428721867528,0.0,0.018,0.882569661322445,0.0025696613224449605
S_diesel_lag,9.308143793309064,0.88,167.8326286565802,161.24135002256978,9.308143793309064,0.0,0.018,0.8837144321532956,0.003714432153295588
S_diesel_lag,9.9538588647506,0.89,167.8326286565802,161.24135002256978,9.9538588647506,0.0,0.018,0.8848592029841462,-0.005140797015853793
S_diesel_lag,10.599573936192131,0.89,167.8326286565802,161.24135002256978,10.599573936192131,0.0,0.018,0.8860039738149968,-0.003996026185003165
S_diesel_lag,11.245289007633668,0.89,167.8326286565802,161.24135002256978,11.245289007633668,0.0,0.018,0.8871487446458475,-0.0028512553541525376
S_diesel_lag,11.891004079075202,0.89,167.8326286565802,161.24135002256978,11.891004079075202,0.0,0.018,0.8882935154766981,-0.00170648452330191
S_diesel_lag,12.536719150516738,0.89,167.8326286565802,161.24135002256978,12.536719150516738,0.0,0.018,0.8894382863075487,-0.0005617136924512822
S_diesel_lag,13.182434221958273,0.89,167.8326286565802,161.24135002256978,13.182434221958273,0.0,0.018,0.8905830571383994,0.0005830571383993455
S_diesel_lag,13.828149293399807,0.89,167.8326286565802,161.24135002256978,13.828149293399807,0.0,0.018,0.89172782796925,0.0017278279692499732
S_diesel_lag,14.473864364841342,0.89,167.8326286565802,161.24135002256978,14.473864364841342,0.0,0.018,0.8928725988001006,0.002872598800100601
S_diesel_lag,15.119579436282876,0.89,167.8326286565802,161.24135002256978,15.119579436282876,0.0,0.018,0.8940173696309512,0.0040173696309512286
S_diesel_lag,15.76529450772441,0.9,167.8326286565802,161.24135002256978,15.76529450772441,0.0,0.018,0.8951621404618019,-0.004837859538198153
S_diesel_lag,16.411009579165945,0.9,167.8326286565802,161.24135002256978,16.411009579165945,0.0,0.018,0.8963069112926525,-0.003693088707347525
S_diesel_lag,17.056724650607478,0.9,167.8326286565802,161.24135002256978,17.056724650607478,0.0,0.018,0.8974516821235031,-0.0025483178764968972
S_diesel_lag,17.702439722049014,0.9,167.8326286565802,161.24135002256978,17.702439722049014,0.0,0.018,0.8985964529543538,-0.0014035470456462695
S_diesel_lag,18.34815479349055,0.9,167.8326286565802,161.24135002256978,18.34815479349055,0.0,0.018,0.8997412237852044,-0.00025877621479564183
S_diesel_lag,18.993869864932083,0.9,167.8326286565802,161.24135002256978,18.993869864932083,0.0,0.018,0.900885994616055,0.0008859946160549859
S_diesel_lag,19.63958493637362,0.9,167.8326286565802,161.24135002256978,19.63958493637362,0.0,0.018,0.9020307654469056,0.0020307654469056136
S_diesel_lag,20.285300007815152,0.9,167.8326286565802,161.24135002256978,20.285300007815152,0.0,0.018,0.9031755362777563,0.0031755362777562413
S_diesel_lag,20.93101507925669,0.9,167.8326286565802,161.24135002256978,20.93101507925669,0.0,0.018,0.9043203071086069,0.004320307108606869
S_diesel_lag,21.576730150698225,0.91,167.8326286565802,161.24135002256978,21.576730150698225,0.0,0.018,0.9054650779394575,-0.004534922060542512
S_diesel_lag,22.22244522213976,0.91,167.8326286565802,161.24135002256978,22.22244522213976,0.0,0.018,0.9066098487703081,-0.0033901512296918845
S_diesel_lag,22.86816029358129,0.91,167.8326286565802,161.24135002256978,22.86816029358129,0.0,0.018,0.9077546196011588,-0.002245380398841257
S_diesel_lag,23.513875365022827,0.91,167.8326286565802,161.24135002256978,23.513875365022827,0.0,0.018,0.9088993904320094,-0.0011006095679906291
S_diesel_lag,24.159590436464363,0.91,167.8326286565802,161.24135002256978,24.159590436464363,0.0,0.018,0.91004416126286,4.416126285999855e-05
S_diesel_lag,24.8053055079059,0.91,167.8326286565802,161.24135002256978,24.8053055079059,0.0,0.018,0.9111889320937107,0.0011889320937106262
S_diesel_lag,25.451020579347432,0.91,167.8326286565802,161.24135002256978,25.451020579347432,0.0,0.018,0.9123337029245613,0.002333702924561254
S_diesel_lag,26.09673565078897,0.91,167.8326286565802,161.24135002256978,26.09673565078897,0.0,0.018,0.9134784737554119,0.0034784737554118816
S_diesel_lag,26.7424507222305,0.91,167.8326286565802,161.24135002256978,26.7424507222305,0.0,0.018,0.9146232445862625,0.004623244586262509
S_diesel_lag,27.38816579367204,0.92,167.8326286565802,161.24135002256978,27.38816579367204,0.0,0.018,0.9157680154171132,-0.004231984582886872
