date,weighted_oil_mean,filtered_oil_price,exchange_rate,previous_actual,theory_price,delta_p_theory,carry_before,stacked_change,delta_p_rule,carry_after,actual_change,actual_after,is_changed,is_special_regulated,rule_error,abs_rule_error
2018-12-01,58.25474200000001,58.25474200000001,6.9558,9060.0,8120.633760355473,-939.366239644527,0.0,-939.366239644527,-939.366239644527,0.0,-540,8520,True,False,-399.366239644527,399.366239644527
2018-12-15,58.341502,58.341502,6.905,8520.0,8097.796798767036,-422.2032012329637,0.0,-422.2032012329637,-422.2032012329637,0.0,-125,8395,True,False,-297.2032012329637,297.2032012329637
2018-12-29,51.162670000000006,51.162670000000006,6.8755,8395.0,7603.575532497427,-791.424467502573,0.0,-791.424467502573,-791.424467502573,0.0,-370,8025,True,False,-421.42446750257295,421.42446750257295
2019-01-15,57.431142,57.431142,6.7595,8025.0,7956.124080559184,-68.87591944081578,0.0,-68.87591944081578,-68.87591944081578,0.0,105,8130,True,False,-173.87591944081578,173.87591944081578
2019-01-29,59.723462000000005,59.723462000000005,6.7304,8130.0,8089.231157811628,-40.76884218837222,0.0,-40.76884218837222,0.0,-40.76884218837222,245,8375,True,False,-245.0,245.0
2019-02-15,61.532048,61.532048,6.768,8375.0,8229.392985199718,-145.60701480028183,-40.76884218837222,-186.37585698865405,-186.37585698865405,0.0,50,8425,True,False,-236.37585698865405,236.37585698865405
2019-03-01,64.391806,64.391806,6.7048,8425.0,8377.28724041416,-47.712759585840104,0.0,-47.712759585840104,0.0,-47.712759585840104,270,8695,True,False,-270.0,270.0
2019-03-14,64.55049,64.55049,6.7209,8695.0,8397.63703366462,-297.3629663353804,-47.712759585840104,-345.0757259212205,-345.0757259212205,0.0,0,8695,False,False,-345.0757259212205,345.0757259212205
2019-03-29,66.239398,66.239398,6.7112,8695.0,8501.247805530995,-193.7521944690052,0.0,-193.7521944690052,-193.7521944690052,0.0,80,8775,True,False,-273.7521944690052,273.7521944690052
2019-04-01,66.35500400000001,66.35500400000001,6.7102,8775.0,8508.112643568445,-266.8873564315545,0.0,-266.8873564315545,-266.8873564315545,0.0,-225,8550,True,True,-41.88735643155451,41.88735643155451
2019-04-13,69.521162,69.521162,6.7039,8550.0,8709.438368740924,159.4383687409245,0.0,159.4383687409245,159.4383687409245,0.0,155,8705,True,False,4.4383687409244885,4.4383687409244885
2019-04-27,71.76306400000001,71.76306400000001,6.7282,8705.0,8871.730393454764,166.73039345476354,0.0,166.73039345476354,166.73039345476354,0.0,195,8900,True,False,-28.269606545236456,28.269606545236456
2019-05-14,69.756558,69.756558,6.8737,8900.0,8839.31138150214,-60.68861849785935,0.0,-60.68861849785935,-60.68861849785935,0.0,-75,8825,True,False,14.311381502140648,14.311381502140648
2019-05-28,68.914544,68.914544,6.9078,8825.0,8806.048935875187,-18.951064124812547,0.0,-18.951064124812547,0.0,-18.951064124812547,50,8875,True,False,-50.0,50.0
2019-06-12,61.188198,61.188198,6.9161,8875.0,8294.556170834678,-580.4438291653223,-18.951064124812547,-599.3948932901349,-599.3948932901349,0.0,-465,8410,True,False,-134.39489329013486,134.39489329013486
2019-06-26,63.177800000000005,63.177800000000005,6.8781,8410.0,8404.46643922721,-5.533560772790224,0.0,-5.533560772790224,0.0,-5.533560772790224,-120,8290,True,False,120.0,120.0
2019-07-10,63.551154000000004,63.551154000000004,6.8705,8290.0,8424.63984633611,134.63984633610926,-5.533560772790224,129.10628556331903,129.10628556331903,0.0,150,8440,True,False,-20.893714436680966,20.893714436680966
2019-07-23,63.127368000000004,63.127368000000004,6.8787,8440.0,8401.476679616739,-38.52332038326131,0.0,-38.52332038326131,0.0,-38.52332038326131,0,8440,False,False,0.0,0.0
2019-08-07,60.800492000000006,60.800492000000006,7.0592,8440.0,8352.794932197798,-87.2050678022024,-38.52332038326131,-125.7283881854637,-125.7283881854637,0.0,-80,8360,True,False,-45.7283881854637,45.7283881854637
2019-08-21,58.730000000000004,58.730000000000004,7.0623,8360.0,8213.137765652402,-146.86223434759813,0.0,-146.86223434759813,-146.86223434759813,0.0,-210,8150,True,False,63.13776565240187,63.13776565240187
2019-09-04,58.871340000000004,58.871340000000004,7.144,8150.0,8269.333398499777,119.3333984997771,0.0,119.3333984997771,119.3333984997771,0.0,115,8265,True,False,4.333398499777104,4.333398499777104
2019-09-19,63.02735800000001,63.02735800000001,7.0959,8265.0,8527.274993189316,262.27499318931586,0.0,262.27499318931586,262.27499318931586,0.0,125,8390,True,False,137.27499318931586,137.27499318931586
