scenario,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
equal_weight,2019-09-19,2019-09-01,0.5,0.5,62.07647380415128,59.67561226791442,11326.626815739115,10207.50091088978,16.875410223664474,16.56008035750621,3.2673089488199407e-05,0.008293510213803607,0.026054561905677773,0.0,0.0,0.006876149041793917,124.15294760830255,119.35122453582883,125,125,1.0068226522850658,1.0473290113791454,8390,7405,0.05
equal_weight,2019-10-08,2019-10-01,0.0,0.0,-0.0,-0.0,11326.626815739115,10207.50091088978,-117.34415087574892,-112.5142412415219,0.0,0.0,0.01096610433181157,0.19945774215772905,0.0,0.002193220866362314,-129.15693803231406,-124.10629749177625,0,0,-0.0,-0.0,8390,7405,0.05
equal_weight,2019-10-22,2019-10-01,0.0,0.0,-0.0,-0.0,11326.626815739115,10207.50091088978,-198.00861905254072,-189.97786903677616,0.0,0.0,0.0,0.19945774215772905,0.0,0.03989154843154581,-115.86771343951646,-111.21790016771084,-150,-145,1.2945797888580994,1.3037469668223147,8240,7260,0.05
equal_weight,2019-11-05,2019-11-01,0.0,0.0,0.0,0.0,11326.626815739115,10207.50091088978,-71.58875272439856,-68.43117231433338,0.0,0.0,0.0,0.5934882593045778,0.0,0.0,67.01728061237993,64.55333601140991,105,105,1.5667600809902695,1.626561948424185,8345,7365,0.05
equal_weight,2019-11-19,2019-11-01,0.0,1.0,0.0,112.99872985387836,11326.626815739115,10320.499640743657,67.38230847845398,-47.90182062003336,6.721715427109692e-05,0.05676976265680471,0.05127274019072716,0.5934882593045778,0.0,0.14031959586127618,117.49443538553297,112.99872985387836,70,65,0.5957728957146771,0.5752277046304256,8415,7430,0.05
equal_weight,2019-12-03,2019-12-01,1.0,0.6,86.32870235584448,49.80822198231685,11412.95551809496,10370.307862725975,47.16761593491779,-0.3257931124787845,3.909405696733024e-05,0.0279769750558707,0.035314105821068184,0.7256576077158932,0.0,0.012666034986781243,86.32870235584448,83.01370330386142,55,50,0.6370998115237682,0.6023101971126522,8470,7480,0.05
equal_weight,2019-12-16,2019-12-01,0.0,0.0,0.0,0.0,11412.95551809496,10370.307862725975,33.01733115444245,-0.22805517873514913,0.0,0.013708717777376644,0.013820503977846267,0.7256576077158932,0.0,0.0055058443510445825,0.0,0.0,0,0,,,8470,7480,0.05
equal_weight,2019-12-31,2019-12-01,0.25,1.0,49.10201235852327,188.8995283777183,11462.057530453483,10559.207391103693,170.41816888367953,-0.15963862511461002,0.0001895359067651662,0.3652117095512437,0.1500044071053185,0.7256576077158932,0.0,0.2482126520558441,196.40804943409307,188.8995283777183,235,230,1.196488640242094,1.2175784766391704,8705,7710,0.05
equal_weight,2020-01-14,2020-01-01,0.0,0.0,0.0,0.0,11462.057530453483,10559.207391103693,119.29271821857566,-0.11174703758022701,0.0,0.19704236918659515,0.05823318684700979,1.6249572324984596,0.0005860499941884077,0.37616376770525056,0.0,0.0,0,0,,,8705,7710,0.05
equal_weight,2020-02-05,2020-02-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-388.2314477893173,-453.19091086811176,0.0,0.0,0.0,1.2524225271519305,0.005271180703347075,0.0010542361406694152,-471.7363505423203,-453.1126879418056,-420,-405,0.890327827222043,0.8938173897527566,8285,7305,0.05
equal_weight,2020-02-19,2020-02-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-559.8677968544944,-593.790169916007,0.0,0.0,0.0,1.2524225271519305,0.011337776772588534,0.2527520607849038,-288.10578340197225,-276.5565323083288,-415,-400,1.4404431424445994,1.446358893284234,7870,6905,0.05
equal_weight,2020-03-03,2020-03-01,0.0,0.0,0.0,0.0,11462.057530453483,10559.207391103693,-391.907457798146,-415.65311894120487,0.0,0.0,0.0,0.17541121192432846,0.01584071615343775,0.0031681432306875502,0.0,0.0,0,0,,,7870,6905,0.05
equal_weight,2020-03-18,2020-03-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-1213.151667501223,-1192.7987618320033,0.0,0.0,0.0,0.17541121192432846,0.01943976112991064,0.0038879522259821285,-938.8164470425208,-901.8415785731598,-1015,-975,1.0811485069285633,1.0811211449605007,6855,5930,0.05
equal_weight,2020-03-31,2020-03-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-1915.9638414557562,-1860.1563243742999,0.0,0.0,0.0,0.17541121192432846,0.02217811644428211,0.03951786567372212,-1066.7576742049002,-1025.1971910918976,0,0,-0.0,-0.0,6855,5930,0.05
equal_weight,2020-04-15,2020-04-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-1422.0891086173572,-1379.052888890956,0.0,0.0,0.0,0.0,0.007908301558273293,0.0015816603116546588,-80.9144195983278,-76.94346182894601,0,0,-0.0,-0.0,6855,5930,0.05
equal_weight,2020-04-28,2020-04-01,0.0,0.0,-0.0,-0.0,11462.057530453483,10559.207391103693,-1595.3238440871096,-1542.3467921454037,0.0,0.0,0.0,0.0,0.002202654044499917,0.0004405308088999834,-599.8614680549596,-577.0097699217346,0,0,-0.0,-0.0,6855,5930,0.05
equal_weight,2020-05-14,2020-05-01,0.0,0.0,0.0,0.0,11462.057530453483,10559.207391103693,-514.8948035707588,-500.58290078366485,0.0,0.0,0.0,0.0,0.0003074800090106217,6.149600180212434e-05,601.8318872902178,579.0598537181177,0,0,0.0,0.0,6855,5930,0.05
equal_weight,2020-05-28,2020-05-01,0.25,0.25,134.62249185137227,129.4227765181357,11596.680022304856,10688.630167621828,43.441113054585685,37.86029900584171,0.000144880733854517,0.048224995624303144,0.12254679280140343,0.0,0.0,0.03418333383191222,538.4899674054891,517.6911060725428,0,0,0.0,0.0,6855,5930,0.05
equal_weight,2020-06-11,2020-06-01,0.9,0.9,363.6567813312561,349.4736312780081,11960.336803636112,11038.103798899836,70.81508817501623,65.33261277942341,0.001032720054132677,0.13625744584609892,0.6668774856693683,0.0,0.0,0.16083353031392,404.0630903680624,388.3040347533423,0,0,0.0,0.0,6855,5930,0.05
equal_weight,2020-06-29,2020-06-01,1.0,1.0,167.8326286565802,161.24135002256978,12128.169432292692,11199.345148922406,49.57056172251134,45.732828945596395,0.000206402742403891,0.06676614846458846,0.21932907654197153,0.0,0.0,0.05726032554979278,167.8326286565802,161.24135002256978,120,110,0.7149980367973887,0.682207138457987,6975,6040,0.05
equal_weight,2020-07-11,2020-07-01,1.0,1.0,118.44992946306022,113.74077964052924,12246.619361755753,11313.085928562936,34.69939320575793,32.01298026191748,9.974435657646025e-05,0.03273110769957755,0.06181729169889967,0.0,0.0,0.018929628751010737,118.44992946306022,113.74077964052924,100,100,0.8442385778810109,0.8791921447702739,7075,6140,0.05
equal_weight,2020-07-24,2020-07-01,1.0,1.0,109.84290891493032,105.58334952877227,12356.462270670683,11418.669278091707,24.289575244030544,22.40908618334224,8.418600461056147e-05,0.016038242772793004,0.04745044695188534,0.0,0.0,0.012714575145857783,109.84290891493032,105.58334952877227,0,0,0.0,0.0,7075,6140,0.05
equal_weight,2020-08-07,2020-08-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,17.002702670821378,15.686360328339566,0.0,0.007863254740725988,0.03433068564065854,0.0,0.0,0.008438788076276906,0.0,0.0,0,0,,,7075,6140,0.05
equal_weight,2020-08-22,2020-08-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,11.901891869574964,10.980452229837695,0.0,0.003852994822955734,0.0,0.0,0.0,0.0007705989645911469,0.0,0.0,85,80,,,7160,6220,0.05
equal_weight,2020-09-04,2020-09-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,8.331324308702474,7.686316560886386,0.0,0.0018891830096235854,0.0,0.0,0.0,0.0003778366019247171,0.0,0.0,0,0,,,7160,6220,0.05
equal_weight,2020-09-19,2020-09-01,0.0,0.0,-0.0,-0.0,12356.462270670683,11418.669278091707,-281.1790730001299,-269.9046759626707,0.0,0.0,0.0,0.0,0.0,0.0,-287.01100001622166,-275.28509755529114,-315,-300,1.097518910363005,1.0897792966789452,6845,5920,0.05
equal_weight,2020-10-09,2020-10-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,-196.82535110009093,-188.93327317386948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,6845,5920,0.05
equal_weight,2020-10-23,2020-10-01,0.0,0.0,0.0,0.0,12356.462270670683,11418.669278091707,-137.77774577006363,-132.25329122170862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,70,,,6925,5990,0.05
