w_wti,w_brent,w_basket,beta,alpha,pi0,lambda,lambda_factor,price_mae,price_rmse,change_mae,segments_used,rows_used
0.58,0.04,0.38000000000000006,1820.751832,1.3078414321934297,2586.314428971285,0.0,0.0,210.6733091973888,329.2595513091385,210.6733091973888,18,194
0.6,0.16,0.24000000000000002,1820.751832,1.2991203215780964,2614.715184911781,0.0,0.0,210.69017995436786,335.37556313425046,210.69017995436786,18,194
0.6,0.0,0.4,1820.751832,1.309357978216286,2588.9380598319754,0.0,0.0,210.69625235021414,328.22977251859044,210.69625235021414,18,194
0.62,0.16,0.22,1820.751832,1.2980889492240657,2623.568321246898,0.0,0.0,210.69644378460933,336.17029048853914,210.69644378460933,18,194
0.56,0.06,0.37999999999999995,1820.751832,1.307357639554472,2581.4926537839206,0.0,0.0,210.70748202168724,329.61978788835114,210.70748202168724,18,194
0.58,0.02,0.4,1820.751832,1.3090190771025898,2583.476943401393,0.0,0.0,210.71721149116138,328.4877575645717,210.71721149116138,18,194
0.56,0.08,0.35999999999999993,1820.751832,1.3061286550144975,2584.5470398100756,0.0,0.0,210.71734811260828,330.43909144056187,210.71734811260828,18,194
0.58,0.16,0.26,1820.751832,1.3000619888400193,2606.162590784042,0.0,0.0,210.72928522547997,334.6862344479187,210.72928522547997,18,194
0.56,0.1,0.33999999999999997,1820.751832,1.3048715733001068,2587.706605891882,0.0,0.0,210.7325313712904,331.29638319310897,210.7325313712904,18,194
0.56,0.12,0.31999999999999995,1820.751832,1.303582614023874,2590.992291785687,0.0,0.0,210.74657617291678,332.19222554366206,210.74657617291678,18,194
0.56,0.04,0.39999999999999997,1820.751832,1.3085584854411008,2578.5434493511184,0.0,0.0,210.74857471050584,328.83818345324437,210.74857471050584,18,194
0.68,0.1,0.21999999999999995,1820.751832,1.2985991442558962,2641.448657491514,0.0,0.0,210.7529745420374,335.9208688899023,210.7529745420374,18,194
0.7000000000000001,0.06,0.23999999999999994,1820.751832,1.2999425694264053,2644.6275368357933,0.0,0.0,210.7543820783426,335.0137270352961,210.7543820783426,18,194
0.64,0.16,0.19999999999999998,1820.751832,1.2969657973764268,2632.7276949304705,0.0,0.0,210.75618203356572,337.07176029952495,210.75618203356572,18,194
0.56,0.14,0.29999999999999993,1820.751832,1.3022633203240475,2594.3959013196213,0.0,0.0,210.77388083481057,333.1270099439062,210.77388083481057,18,194
0.72,0.0,0.28,1820.751832,1.3024603706041875,2645.055518722414,0.0,0.0,210.77676604467229,333.31871865213105,210.77676604467229,18,194
0.58,0.0,0.42000000000000004,1820.751832,1.3101663963504384,2580.755977233124,0.0,0.0,210.7897401121947,327.7529403462137,210.7897401121947,18,194
0.54,0.06,0.39999999999999997,1820.751832,1.3079941024751163,2574.021260020068,0.0,0.0,210.80298789678943,329.27135466447544,210.80298789678943,18,194
0.54,0.08,0.37999999999999995,1820.751832,1.3067866507668031,2577.0021420008775,0.0,0.0,210.80488488761577,330.06478962911945,210.80488488761577,18,194
0.54,0.1,0.36,1820.751832,1.3055512805528007,2580.087642604072,0.0,0.0,210.81721634056342,330.8959630023355,210.81721634056342,18,194
0.6,0.18,0.22000000000000003,1820.751832,1.2976998119939502,2618.483423672904,0.0,0.0,210.82558853454907,336.44514550731503,210.82558853454907,18,194
0.66,0.14,0.19999999999999996,1820.751832,1.2971275916199827,2638.737612911371,0.0,0.0,210.82738953296752,336.9809074536602,210.82738953296752,18,194
0.56,0.02,0.41999999999999993,1820.751832,1.3097282289544308,2575.713885173021,0.0,0.0,210.8310051210994,328.093666187195,210.8310051210994,18,194
0.54,0.12,0.33999999999999997,1820.751832,1.3042880331926314,2583.277760334168,0.0,0.0,210.83486955122626,331.76515890599853,210.83486955122626,18,194
0.56,0.16,0.2799999999999999,1820.751832,1.3009160701111666,2597.9046245852537,0.0,0.0,210.83646087499858,334.10088893741204,210.83646087499858,18,194
0.54,0.04,0.42,1820.751832,1.309169715098343,2571.1652163034396,0.0,0.0,210.8522943048822,328.51506927711756,210.8522943048822,18,194
0.62,0.18,0.2,1820.751832,1.2966456458336046,2627.4140744132324,0.0,0.0,210.8581144158357,337.2684583832736,210.8581144158357,18,194
0.58,0.18,0.24000000000000005,1820.751832,1.298664186353865,2609.853547870811,0.0,0.0,210.86100971704664,335.72750534734695,210.86100971704664,18,194
