scenario,data_scope,date,month,alpha_gasoline,alpha_diesel,optimal_u_gasoline,optimal_u_diesel,optimal_price_gasoline,optimal_price_diesel,S_gasoline,S_diesel,LC,LF,LV,LT,Lpi,LE,total_loss,f_gasoline,f_diesel,u_hist_gasoline,u_hist_diesel,historical_alpha_gasoline,historical_alpha_diesel,gasoline_price_after,diesel_price_after,grid_step
energy_priority,backtest_clean,2017-09-01,2017-09-01,0.97,0.97,-86.64804835843782,-83.23182418070003,7613.462377321432,6596.421190119505,7.675712370460005,10.716240533398874,-0.16264054432294342,0.010392786134156838,0.10553901509187555,0.0008855120929761115,0.061786595955032685,0.0,-0.006415252340550885,-89.327884905606,-85.80600431000003,0,0,-0.0,-0.0,7725,6740,0.01
energy_priority,backtest_clean,2017-09-16,2017-09-01,0.87,0.87,92.820410990106,89.20431964291696,7706.282788311538,6685.625509762422,19.242715244050487,20.830749469447255,0.1913221694879248,0.045410712756488655,0.260789449249213,0.023733364830753726,0.061786595955032685,0.0,0.07297579748541316,106.69012757483448,102.533700738985,95,95,0.8904291536568386,0.9265246383902286,7820,6835,0.01
energy_priority,backtest_clean,2017-09-30,2017-09-01,0.93,0.88,206.91448891975708,188.18483314656157,7913.197277231295,6873.810342908983,29.044109514257883,40.243092784962386,0.8653775855920139,0.14709243784511225,0.39625264421784895,0.06367729997468691,0.061786595955032685,0.0,0.21478611890185711,222.48869776317963,213.8464013029109,210,195,0.9438681699846488,0.9118694484074334,8030,7030,0.01
energy_priority,backtest_clean,2017-10-19,2017-10-01,0.0,0.0,0.0,0.0,7913.197277231295,6873.810342908983,20.330876659980518,28.17016494947367,0.0,0.0722207875383755,0.23799223083378715,0.0,0.0348383214519234,0.0,0.048307187575372015,0.0,0.0,0,0,,,8030,7030,0.01
energy_priority,backtest_clean,2017-11-03,2017-11-01,0.92,0.94,104.51040154387694,102.82819761446216,8017.707678775172,6976.638540523445,23.319474665801735,26.282617440022776,0.23057623331739066,0.0703873173601317,0.15793163346633277,0.007611063105193303,0.02280885237108003,0.0,0.06531087461486673,113.59826254769231,109.39169958985336,150,150,1.320442730688993,1.3712192109858514,8180,7180,0.01
energy_priority,backtest_clean,2017-11-17,2017-11-01,0.91,0.91,206.87747998105652,198.8731518068488,8224.585158756228,7175.511692330294,36.784042374077785,38.066605463638325,0.8526050578006577,0.1564876597696012,0.40906933688755104,0.05166461720488459,0.02280885237108003,0.0,0.20577573403277707,227.33789008907308,218.5419250624712,265,250,1.1656657845120784,1.1439452632648694,8445,7430,0.01
energy_priority,backtest_clean,2017-11-30,2017-11-01,0.0,0.0,0.0,0.0,8224.585158756228,7175.511692330294,25.748829661854447,26.646623824546825,0.0,0.07667895328710458,0.2534292345125683,0.0,0.02280885237108003,0.0,0.04940838562390538,0.0,0.0,0,0,,,8445,7430,0.01
energy_priority,backtest_clean,2017-12-14,2017-12-01,0.0,0.0,0.0,0.0,8224.585158756228,7175.511692330294,18.024180763298112,18.652636677182777,0.0,0.03762965854173823,0.0,0.0,0.06715426911777199,0.0,0.005268152195843348,0.0,0.0,0,0,,,8445,7430,0.01
energy_priority,backtest_clean,2017-12-29,2017-12-01,0.0,0.0,0.0,0.0,8224.585158756228,7175.511692330294,12.616926534308678,13.056845674027944,0.0,0.018438532685451734,0.0,0.0,0.06715426911777199,0.0,0.011982992252451313,0.0,0.0,70,70,,,8515,7500,0.01
energy_priority,backtest_clean,2018-01-13,2018-01-01,0.89,0.89,200.65245400279508,193.23890107077835,8425.237612759023,7368.750593401072,33.6315900799795,33.02325165472476,0.7593022709962512,0.12221735490956584,0.5676208428939663,0.07606219876480695,0.12972553710485266,0.0,0.2135283734590425,225.4521955087585,217.12236075368355,180,175,0.7983954185667145,0.8059971317211789,8695,7675,0.01
energy_priority,backtest_clean,2018-01-27,2018-01-01,0.0,0.0,0.0,0.0,8425.237612759023,7368.750593401072,23.542113055985652,23.11627615830733,0.0,0.05988650390568727,0.23891811666710447,0.0,0.12972553710485266,0.0,0.05999422207487018,0.0,0.0,65,60,,,8760,7735,0.01
energy_priority,backtest_clean,2018-02-10,2018-02-01,0.0,0.0,0.0,0.0,8425.237612759023,7368.750593401072,16.479479139189955,16.181393310815128,0.0,0.029344386913786748,0.0,0.0,0.0,0.0,0.004108214167930142,0.0,0.0,-170,-160,,,8590,7575,0.01
energy_priority,backtest_clean,2018-03-01,2018-03-01,0.97,0.99,-148.1572285561291,-144.7539968745438,8277.080384202894,7223.996596526528,6.953453070954737,9.864813732979258,-0.40035540690718846,0.00864266557121881,0.31461466304123487,0.0012838744578529315,0.0017362205638001733,0.0,-0.010613988537163452,-152.73941088260733,-146.21615845913513,-190,-185,1.2439487549551338,1.265250037681056,8400,7390,0.01
energy_priority,backtest_clean,2018-03-14,2018-03-01,1.0,1.0,-63.13423208262028,-60.56793170144131,8213.946152120274,7163.428664825087,4.867417149668313,6.905369613085483,-0.07383732848995983,0.004234906129897218,0.07668581390793698,0.0,0.0017362205638001733,0.0,0.0009916748167024102,-63.13423208262028,-60.56793170144131,0,0,-0.0,-0.0,8400,7390,0.01
energy_priority,backtest_clean,2018-03-29,2018-03-01,0.88,0.88,96.42718422448598,92.76688488428623,8310.373336344759,7256.195549709373,16.556353489925,17.48378848610797,0.175669396992214,0.03240994874722277,0.22653570639167017,0.021357592721040472,0.0017362205638001733,0.0,0.06407924115823262,109.57634570964316,105.41691464123436,170,165,1.5514297259964138,1.5652137094084464,8570,7555,0.01
energy_priority,backtest_clean,2018-04-13,2018-04-01,0.0,0.0,0.0,0.0,8310.373336344759,7256.195549709373,11.5894474429475,12.238651940275577,0.0,0.015862671188657373,0.05511242242601121,0.0,0.006702880799805909,0.0,0.009936513106053594,0.0,0.0,55,50,,,8625,7605,0.01
energy_priority,backtest_clean,2018-04-27,2018-04-01,0.9,0.88,282.9024455781278,265.9008488744768,8593.275781922886,7522.09639858385,39.54621827429969,44.826263022894295,1.4329129520222381,0.20246006968326177,1.0980570489153394,0.15214277148186373,0.006702880799805909,0.0,0.4049186012063509,314.3360506423642,302.1600555391782,255,245,0.8112337082523385,0.8108285509903648,8880,7850,0.01
energy_priority,backtest_clean,2018-05-01,2018-05-01,0.0,0.0,0.0,0.0,8593.275781922886,7522.09639858385,27.68235279200978,31.378384116026005,0.0,0.09944054137920405,0.46210211222490194,0.0,0.006308751638078196,0.0,0.07861597150457479,0.0,0.0,-75,-65,,,8805,7785,0.01
energy_priority,backtest_clean,2018-05-12,2018-05-01,0.95,0.97,101.56232645720716,99.83998792959518,8694.838108380094,7621.936386513445,24.723032557417753,25.052703559453093,0.1821098580388015,0.06865182383838561,0.14890469774645118,0.002245143941064116,0.006308751638078196,0.0,0.05626761329905829,106.90771206021807,102.92782260783008,170,165,1.5901565633005394,1.6030650976526912,8975,7950,0.01
energy_priority,backtest_clean,2018-05-26,2018-05-01,0.93,0.92,215.55900972228645,204.88144978890864,8910.39711810238,7826.8178363023535,33.53099448971935,35.352670734130925,0.7673100971944152,0.1327262905338895,0.4471361381642451,0.03811980691282185,0.006308751638078196,0.0,0.19482415182208287,231.78388142181336,222.6972280314224,260,250,1.1217346021004686,1.1226004122724202,9235,8200,0.01
energy_priority,backtest_clean,2018-06-09,2018-06-01,0.92,0.93,-190.3942773876074,-185.0205041466915,8720.002840714773,7641.797332155662,6.915672022142047,10.820595008226718,-0.5837260995902276,0.009926757071977408,1.2739789565280752,0.029357108256400647,0.0348383214519234,0.0,0.10213514111727154,-206.9503015082689,-198.94677865235644,-130,-125,0.6281701406209632,0.6283087408941036,9105,8075,0.01
energy_priority,backtest_clean,2018-06-26,2018-06-01,0.85,0.86,55.000859240758196,53.59640213564814,8775.00369995553,7695.3937342913105,14.547004399162638,16.299412202259568,0.05118211089162292,0.026991647034049465,0.3863054483719489,0.010803302823201872,0.0348383214519234,0.0,0.07141691628018446,64.7068932244214,62.321397832149,-55,-55,-0.8499867210320975,-0.8825219252644523,9050,8020,0.01
energy_priority,backtest_clean,2018-07-10,2018-07-01,0.9,0.9,281.62986417252307,271.124373092307,9056.633564128053,7966.5181073836175,41.47511020969415,41.53451888517134,1.3006197562699626,0.18972578567197343,0.950844346669334,0.12104950762988881,0.0,0.0,0.358713515473762,312.9220713028034,301.24930343589665,270,260,0.8628346312418812,0.8630725350550922,9320,8280,0.01
energy_priority,backtest_clean,2018-07-24,2018-07-01,0.6,0.0,-30.539718695205607,0.0,9026.093845432848,7966.5181073836175,8.6727646833155,29.074163219619933,-0.005823514154519305,0.05847337156666517,0.5225439285719946,0.023120397363379074,0.0,0.0,0.08376398566865267,-50.89953115867601,0.0,-125,-120,2.4558182984106582,,9195,8160,0.01
energy_priority,backtest_clean,2018-08-07,2018-08-01,0.0,0.0,0.0,0.0,9026.093845432848,7966.5181073836175,6.0709352783208494,20.351914253733952,0.0,0.02912986854655824,0.0024426908539313275,0.0,0.0,0.0,0.004420158316068536,0.0,0.0,70,70,,,9265,8230,0.01
energy_priority,backtest_clean,2018-08-21,2018-08-01,0.98,0.97,-127.38160316681461,-168.51850164094526,8898.712242266034,7797.999605742672,1.6500301403998066,9.034427555728854,-0.38364132429775616,0.0055409818150369316,0.3424758520371058,0.0023947250840670718,0.0,0.0,-0.0046521671506164946,-129.9812277212394,-173.73041406283016,-50,-50,0.3846709319228089,0.28780222662634847,9215,8180,0.01
energy_priority,backtest_clean,2018-09-04,2018-09-01,0.87,0.87,126.55546344872818,121.64981105926044,9025.267705714763,7919.649416801933,20.065607590618555,24.501657263382455,0.2553785408461307,0.05736860673881483,0.5994420321737022,0.04413382546408009,0.0,0.0,0.13388522073118178,145.46604994106687,139.8273690336327,180,170,1.2374021297266542,1.2157848722671016,9395,8350,0.01
energy_priority,backtest_clean,2018-09-18,2018-09-01,0.99,1.0,87.35857270808496,84.70441594940971,9112.626278422847,8004.353832751342,14.928335138767181,17.151160084367717,0.11934029854874442,0.029247065593006688,0.07167558529784694,4.2964559569645174e-05,0.0,0.0,0.030842827959883457,88.24098253341916,84.70441594940971,145,145,1.643227396579415,1.7118351903471272,9540,8495,0.01
energy_priority,backtest_clean,2018-10-01,2018-10-01,0.92,0.92,177.60187865006566,170.74296062497473,9290.228157072914,8175.096793376317,25.893476218881858,26.853026026446514,0.4777118249912175,0.07707532935689446,0.30477648672425683,0.029440184238933707,0.0,0.0,0.12446053554358227,193.0455202718105,185.59017459236384,240,230,1.243230092374467,1.2392897442182988,9780,8725,0.01
energy_priority,backtest_clean,2018-10-20,2018-10-01,0.98,0.98,125.66396332697695,120.74009560373212,9415.89212039989,8295.83688898005,20.690004033359685,21.261201802262192,0.22945718549859803,0.048668376748480076,0.14457138048651627,0.0008113211421431778,0.0,0.0,0.059291156942603215,128.22853400711935,123.20417918748176,165,160,1.2867650814041052,1.298657245680972,9945,8885,0.01
energy_priority,backtest_clean,2018-11-03,2018-11-01,0.97,0.98,-353.3594892386808,-342.999636080641,9062.53263116121,7952.837252899409,3.554358826279156,7.882848688509171,-1.7863557227561944,0.004624885384910381,2.3977653881537773,0.010238868010485833,0.0,0.0,0.08767827863101699,-364.28813323575343,-349.9996286537153,-375,-365,1.0294049291946445,1.0428582493186753,9570,8520,0.01
energy_priority,backtest_clean,2018-11-17,2018-11-01,0.99,0.99,-435.5346069469614,-418.4171079429787,8626.998024214248,7534.42014495643,-1.9112882857152727,1.2915586481889818,-2.898007981610136,0.00010895657522137763,1.5822664310071528,0.002387114448124525,0.0,0.0,-0.18385436714114914,-439.9339464110721,-422.64354337674615,-510,-490,1.159264940022288,1.1593694205881007,9060,8030,0.01
energy_priority,backtest_clean,2018-12-01,2018-12-01,0.94,0.94,-424.20056431557947,-407.42024207539407,8202.79745989867,7126.999902881036,-28.41453356482492,-25.10145631278226,-2.898007981610136,0.0,1.4652515277491258,0.0903971169323032,0.0348383214519234,0.0,-0.18793030717001888,-451.2771960804037,-433.4257894419086,-540,-520,1.1966037829746412,1.199744022314793,8520,7510,0.01
energy_priority,backtest_clean,2018-12-15,2018-12-01,1.0,1.0,-156.0910769027586,-149.8760214782586,8046.706382995911,6977.123881402777,-19.89017349537744,-17.57101941894757,-0.4612758759977098,0.0,0.6236059441514427,0.0,0.0348383214519234,0.0,0.022726209541522588,-156.0910769027586,-149.8760214782586,-125,-120,0.800814514707156,0.8006617657475483,8395,7390,0.01
